B1AM27,Q14573
B1AM27,Q9UMD9
D3DSM4,P12109
D3DSM4,P20908
D3DSM4,P58335
D3DSM4,Q01955
D3DSM4,Q15582
O15455,Q15399
P16112,P02462
P16112,P02751
P16112,P04275
P16112,P05106
P16112,P05556
P16112,P06756
P16112,P07093-2
P16112,P07996
P16112,P08123
P16112,P08514-2
P16112,P08572
P16112,P08648
P16112,P08758
P16112,P10909
P16112,P12107
P16112,P12109
P16112,P12645
P16112,P13725
P16112,P13942
P16112,P14543
P16112,P17936
P16112,P20073
P16112,P20908
P16112,P20916
P16112,P21810
P16112,P22303-4
P16112,P25940
P16112,P26006
P16112,P32004
P16112,P35555
P16112,P35556
P16112,P35613
P16112,P43251
P16112,P48723
P16112,P50897
P16112,P51884
P16112,P53420
P16112,P54709
P16112,P55001-2
P16112,P58335
P16112,P58335-4
P16112,Q01955
P16112,Q01955-5
P16112,Q07021
P16112,Q08345
P16112,Q08345-2
P16112,Q08380
P16112,Q13751
P16112,Q13753
P16112,Q13753-2
P16112,Q14050
P16112,Q14773
P16112,Q15582
P16112,Q32P28
P16112,Q5SQT9
P16112,Q5T2D2
P16112,Q5ZPR3
P16112,Q8WTV0
P16112,Q8WU66
P16112,Q92876
P16112,Q96CW1
P16112,Q96RT1
P16112,Q99972
P16112,Q9GZM6
P16112,Q9HAT2
P16112,Q9NPY3
P16112,Q9UBX5
P16112,Q9UHG3
P16112,Q9UHL4
P16112,Q9UM47
P16112,Q9Y4L1
K9JA46,Q14573
O00468,P20908
O00468,P35555
O00468,P35613
O00468,P43251
O00468,P48723
O00468,P50897
O00468,P54709
O00468,Q01955-5
O00468,Q08380
O00468,Q13753
O00468,Q15582
O00468,Q5T2D2
O00468,Q5ZPR3
O00468,Q8WTV0
O00468,Q8WU66
O00468,Q9HAT2
O00468,Q9UHG3
O00468,Q9UHL4
O00468,Q9Y4L1
O00555,Q92736
O00555,Q96CW1
O00555,Q9UMD9
O15230,O00555
O15230,P07996
O15230,Q01955-5
O15230,Q14112
O15230,Q14767
O15230,Q16610-2
O15230,Q16787
O15230,Q5M8T4
O15230,Q6PCB0
O15230,Q96CW1
O15230,Q96RT1
O15230,Q9GZM6
O15230,Q9H3G5
O15230,Q9UM47
O15230,Q9Y3R0
O60486,P14625
O60486,Q13162
O60494,P05106
O60494,P06756
O60494,P50897
O60494,P54709
O60494,Q07021
O60494,Q12860
O60494,Q32P28
O60494,Q5ZPR3
O60494,Q86TE4
O60494,Q8WTV0
O60494,Q96CW1
O60494,Q96RT1
O60494,Q9GZM6
O60494,Q9HAT2
O60494,Q9HD43
O60494,Q9UHF4
O60494,Q9UHL4
O60494,Q9UMD9
O60494,Q9Y4C0
O60494,Q9Y6R7
O75095,Q04721
O95477,P10586
O95477,Q12913
O95477,Q9UMD9
P00451,P08581
P00451,P10586
P00451,P12830
P00451,P14625
P00451,P17931
P00451,P23468
P00451,P27797
P00451,P98164
P00451,Q12913
P00451,Q13162
P00451,Q14573
P00451,Q92743
P00451,Q96CW1
P00451,Q96JX3
P00451,Q9UL54
P00451,Q9UMD9
P01023,P14625
P01023,P27797
P01023,Q13162
P01023,Q96CW1
P01023,Q9UMD9
P01024,Q13162
P01024,Q96CW1
P01024,Q9UMD9
P01031,P98164
P01031,Q9UMD9
P01266,O75718
P01266,P01023
P01266,P06756
P01266,P11047
P01266,P16144-2
P01266,Q96CW1
P01266,Q96RT1
P01266,Q9Y3R0
P01266,Q9Y6N7
P02452,P07093-2
P02452,P07996
P02452,P08572
P02452,P0DJI9
P02452,P12107
P02452,P12109
P02452,P12645
P02452,P20916-2
P02452,P22303-4
P02452,P25940
P02452,P35556
P02452,P58335-4
P02452,P98095
P02452,Q01955
P02452,Q08345
P02452,Q08345-2
P02452,Q14050
P02452,Q15582
P02452,Q92876
P02452,Q9NPY3
P02458,P07093-2
P02458,P08572
P02458,P0DJI9
P02458,P12645
P02458,P14543
P02458,P20908
P02458,P20916-2
P02458,P22303-4
P02458,P35556
P02458,P58335-4
P02458,P98095
P02458,Q01955
P02458,Q15582
P02458,Q92876
P02458,Q9NPY3
P02458-1,P07093-2
P02458-1,P0DJI9
P02458-1,P12645
P02458-1,P14543
P02458-1,P20908
P02458-1,P22303-4
P02458-1,P35556
P02458-1,P58335-4
P02458-1,P98095
P02458-1,Q01955
P02458-1,Q08345
P02458-1,Q15582
P02458-1,Q92876
P02458-1,Q9NPY3
P02461,P07093-2
P02461,P08572
P02461,P0DJI9
P02461,P12107
P02461,P12109
P02461,P12645
P02461,P13942
P02461,P14543
P02461,P20908
P02461,P20916-2
P02461,P22303-4
P02461,P25940
P02461,P35556
P02461,P51884
P02461,P58335-4
P02461,P98095
P02461,Q01955
P02461,Q08345
P02461,Q08345-2
P02461,Q13753-2
P02461,Q14050
P02461,Q15582
P02461,Q92876
P02461,Q9NPY3
P02462,P20908
P02462,P58335-4
P02462,P98095
P02462,Q15582
P02462,Q9NPY3
P02751,P14780
P02751,P16144
P02751,P27797
P02751,P35613
P02751,Q07954
P02751,Q12959
P02751,Q92832
P02751,Q96JX3
P02751,Q9HD43
P02751,Q9UHF4
P02751,Q9UHG3
P02751,Q9UMD9
P02751,Q9Y4C0
P02751,Q9Y4L1
P02751,Q9Y6R7
P02768,P27797
P04114,P08648
P04114,P10909
P04114,P15328
P04114,P16070
P04114,P20645
P04114,P35613
P04114,P50897
P04114,P54709
P04114,Q07021
P04114,Q08380
P04114,Q12913
P04114,Q12959
P04114,Q14573
P04114,Q32P28
P04114,Q8WTV0
P04114,Q92743
P04114,Q96RT1
P04114,Q9GZM6
P04114,Q9HAT2
P04114,Q9NYQ7
P04114,Q9UHG3
P04114,Q9UHL4
P04114,Q9UL54
P04114,Q9Y4L1
P04264,P02751
P04264,P07996
P04264,P08758
P04264,P16070
P04264,P20908
P04264,P27797
P04264,P35555
P04264,P35613
P04264,P48723
P04264,P54709
P04264,Q07954
P04264,Q08380
P04264,Q32P28
P04264,Q5T2D2
P04264,Q5ZPR3
P04264,Q8WTV0
P04264,Q8WU66
P04264,Q9BRK5
P04264,Q9HAT2
P04264,Q9HCN8
P04264,Q9UHG3
P04264,Q9UHL4
P04264,Q9UKX5
P04264,Q9Y4L1
P04275,O75718
P04275,P01023
P04275,P01833
P04275,P02786
P04275,P05556
P04275,P07339
P04275,P07602
P04275,P07942
P04275,P08236
P04275,P08648
P04275,P10720
P04275,P10909
P04275,P11047
P04275,P11717
P04275,P15328
P04275,P16070
P04275,P16144
P04275,P16144-2
P04275,P20645
P04275,P23229
P04275,P23229-2
P04275,P25391
P04275,P26006
P04275,P27797
P04275,P32004
P04275,P35052
P04275,P35555
P04275,P35613
P04275,P35968
P04275,P43251
P04275,P47893
P04275,P48723
P04275,P50897
P04275,P54709
P04275,P55268
P04275,P61812
P04275,P81605
P04275,Q01955-5
P04275,Q07021
P04275,Q08380
P04275,Q12860-2
P04275,Q13797
P04275,Q14512
P04275,Q14767
P04275,Q16363
P04275,Q16787
P04275,Q32P28
P04275,Q5M8T4
P04275,Q5T2D2
P04275,Q5ZPR3
P04275,Q8WTV0
P04275,Q8WU66
P04275,Q92736
P04275,Q96CW1
P04275,Q96RT1
P04275,Q99972
P04275,Q9GZM6
P04275,Q9HAT2
P04275,Q9HCK4
P04275,Q9UHG3
P04275,Q9UHL4
P04275,Q9UMD9
P04275,Q9Y3R0
P04275,Q9Y4C0
P04275,Q9Y4L1
P04275,Q9Y6N6
P04275,Q9Y6N7
P04275,Q9Y6N7-4
P04985,P12109
P04985,P20908
P04985,P98095
P04985,Q15582
P05067,Q96CW1
P05067-10,Q96CW1
P05067-4,Q96CW1
P05997,P07996
P05997,P08572
P05997,P12109
P05997,P14543
P05997,P22303-4
P05997,P35556
P05997,P58335-4
