0,1
UNC13B,ITPR3
UNC13B,COL17A1
COL18A1,COL6A1
COL18A1,COL5A1
COL18A1,ANTXR2
COL18A1,COL4A3
COL18A1,TGFBI
TLR3,TLR1
ACAN,COL4A1
ACAN,FN1
ACAN,VWF
ACAN,ITGB3
ACAN,ITGB1
ACAN,ITGAV
ACAN,SERPINE2
ACAN,THBS1
ACAN,COL1A2
ACAN,ITGA2B
ACAN,COL4A2
ACAN,ITGA5
ACAN,ANXA5
ACAN,CLU
ACAN,COL11A1
ACAN,COL6A1
ACAN,BMP3
ACAN,OSM
ACAN,COL11A2
ACAN,NID1
ACAN,IGFBP3
ACAN,ANXA7
ACAN,COL5A1
ACAN,MAG
ACAN,BGN
ACAN,ACHE
ACAN,COL5A3
ACAN,ITGA3
ACAN,L1CAM
ACAN,FBN1
ACAN,FBN2
ACAN,BSG
ACAN,BTD
ACAN,HSPA13
ACAN,PPT1
ACAN,LUM
ACAN,COL4A4
ACAN,ATP1B3
ACAN,MFAP2
ACAN,ANTXR2
ACAN,ANTXR2
ACAN,COL4A3
ACAN,COL4A3
ACAN,C1QBP
ACAN,DDR1
ACAN,DDR1
ACAN,LGALS3BP
ACAN,LAMB3
ACAN,LAMC2
ACAN,LAMC2
ACAN,COL9A3
ACAN,ICAM4
ACAN,TGFBI
ACAN,P3H1
ACAN,SAR1A
ACAN,TREML2
ACAN,CD276
ACAN,SCARB1
ACAN,TSPEAR
ACAN,KLK6
ACAN,AP2M1
ACAN,ERBIN
ACAN,MYOC
ACAN,OR8D2
ACAN,SIAE
ACAN,CD93
ACAN,FBLN5
ACAN,PCYOX1
ACAN,DPP7
ACAN,NOTCH3
ACAN,HYOU1
EL52,ITPR3
AGRN,COL5A1
AGRN,FBN1
AGRN,BSG
AGRN,BTD
AGRN,HSPA13
AGRN,PPT1
AGRN,ATP1B3
AGRN,COL4A3
AGRN,LGALS3BP
AGRN,LAMC2
AGRN,TGFBI
AGRN,TREML2
AGRN,CD276
AGRN,SCARB1
AGRN,TSPEAR
AGRN,SIAE
AGRN,PCYOX1
AGRN,DPP7
AGRN,HYOU1
CACNA1A,RYR2
CACNA1A,AP2M1
CACNA1A,COL17A1
LAMA5,CACNA1A
LAMA5,THBS1
LAMA5,COL4A3
LAMA5,NID2
LAMA5,LTBP2
LAMA5,ECM1
LAMA5,LAMA3
LAMA5,CTGF
LAMA5,VWA1
LAMA5,AP2M1
LAMA5,ERBIN
LAMA5,OR8D2
LAMA5,CPVL
LAMA5,NOTCH3
LAMA5,GRIP1
PLXNC1,HSP90B1
PLXNC1,PRDX4
CUBN,ITGB3
CUBN,ITGAV
CUBN,PPT1
CUBN,ATP1B3
CUBN,C1QBP
CUBN,CNTN1
CUBN,P3H1
CUBN,CD276
CUBN,LUZP2
CUBN,SCARB1
CUBN,AP2M1
CUBN,ERBIN
CUBN,OR8D2
CUBN,SIAE
CUBN,PTPRH
CUBN,IL20RA
CUBN,DPP7
CUBN,COL17A1
CUBN,NRXN3
CUBN,FCGBP
MEGF6,NOTCH2
ABCA1,PTPRF
ABCA1,PTPRJ
ABCA1,COL17A1
F8,MET
F8,PTPRF
F8,CDH1
F8,HSP90B1
F8,LGALS3
F8,PTPRD
F8,CALR
F8,LRP2
F8,PTPRJ
F8,PRDX4
F8,ITPR3
F8,HTRA1
F8,AP2M1
F8,SERAC1
F8,TAOK2
F8,COL17A1
A2M,HSP90B1
A2M,CALR
A2M,PRDX4
A2M,AP2M1
A2M,COL17A1
C3,PRDX4
C3,AP2M1
C3,COL17A1
C5,LRP2
C5,COL17A1
TG,CRTAP
TG,A2M
TG,ITGAV
TG,LAMC1
TG,ITGB4
TG,AP2M1
TG,ERBIN
TG,GRIP1
TG,ROBO1
COL1A1,SERPINE2
COL1A1,THBS1
COL1A1,COL4A2
COL1A1,SAA2
COL1A1,COL11A1
COL1A1,COL6A1
COL1A1,BMP3
COL1A1,MAG
COL1A1,ACHE
COL1A1,COL5A3
COL1A1,FBN2
COL1A1,ANTXR2
COL1A1,FBLN2
COL1A1,COL4A3
COL1A1,DDR1
COL1A1,DDR1
COL1A1,COL9A3
COL1A1,TGFBI
COL1A1,KLK6
COL1A1,CD93
COL2A1,SERPINE2
COL2A1,COL4A2
COL2A1,SAA2
COL2A1,BMP3
COL2A1,NID1
COL2A1,COL5A1
COL2A1,MAG
COL2A1,ACHE
COL2A1,FBN2
COL2A1,ANTXR2
COL2A1,FBLN2
COL2A1,COL4A3
COL2A1,TGFBI
COL2A1,KLK6
COL2A1,CD93
COL2A1,SERPINE2
COL2A1,SAA2
COL2A1,BMP3
COL2A1,NID1
COL2A1,COL5A1
COL2A1,ACHE
COL2A1,FBN2
COL2A1,ANTXR2
COL2A1,FBLN2
COL2A1,COL4A3
COL2A1,DDR1
COL2A1,TGFBI
COL2A1,KLK6
COL2A1,CD93
COL3A1,SERPINE2
COL3A1,COL4A2
COL3A1,SAA2
COL3A1,COL11A1
COL3A1,COL6A1
COL3A1,BMP3
COL3A1,COL11A2
COL3A1,NID1
COL3A1,COL5A1
COL3A1,MAG
COL3A1,ACHE
COL3A1,COL5A3
COL3A1,FBN2
COL3A1,LUM
COL3A1,ANTXR2
COL3A1,FBLN2
COL3A1,COL4A3
COL3A1,DDR1
COL3A1,DDR1
COL3A1,LAMC2
COL3A1,COL9A3
COL3A1,TGFBI
COL3A1,KLK6
COL3A1,CD93
COL4A1,COL5A1
COL4A1,ANTXR2
COL4A1,FBLN2
COL4A1,TGFBI
COL4A1,CD93
FN1,MMP9
FN1,ITGB4
FN1,CALR
FN1,BSG
FN1,LRP1
FN1,DLG1
FN1,NELL1
FN1,SERAC1
FN1,PTPRH
FN1,IL20RA
FN1,PCYOX1
FN1,COL17A1
FN1,NRXN3
FN1,HYOU1
FN1,FCGBP
ALB,CALR
APOB,ITGA5
APOB,CLU
APOB,FOLR1
APOB,CD44
APOB,M6PR
APOB,BSG
APOB,PPT1
APOB,ATP1B3
APOB,C1QBP
APOB,LGALS3BP
APOB,PTPRJ
APOB,DLG1
APOB,ITPR3
APOB,P3H1
APOB,SCARB1
APOB,HTRA1
APOB,ERBIN
APOB,OR8D2
APOB,SIAE
APOB,CELSR3
