"","ligand","receptor","source","PMIDs"
"1784","IL31","IL31RA","HPMR,uniprot,fantom5","15184896"
"1785","IL31","OSMR","HPMR,uniprot,fantom5","15184896"
"1786","IL33","IL1RL1","uniprot",""
"1787","IL34","CSF1R","reactome,fantom5","22729249"
"1788","IL36A","IL1RL2","uniprot",""
"1789","IL36A","IL36RN","uniprot",""
"1790","IL36B","IL1RL2","uniprot",""
"1791","IL36B","IL36RN","uniprot",""
"1792","IL36G","IL1RL2","uniprot",""
"1793","IL36G","IL36RN","uniprot",""
"1794","IL3","CSF2RB","uniprot,fantom5,HPMR,HPRD","11700046,93"
"1795","IL3","IL3RA","HPRD,HPMR,IUPHAR,uniprot,fantom5","11700046,9278420,8649415"
"1796","IL4","CD53","fantom5,HPRD","7963560"
"1797","IL4","IL13RA1","HPRD,fantom5","10641437,18480254"
"1798","IL4","IL13RA2","HPRD,fantom5","9130652"
"1799","IL4","IL2RG","HPRD,HPMR,fantom5","7918378,827"
"1800","IL4","IL4R","uniprot,fantom5,HPMR,HPRD","7918378,118"
"1801","IL5","CSF2RB","HPMR,uniprot,fantom5","11748263"
"1802","IL5","IL5RA","fantom5,uniprot,IUPHAR,HPMR,HPRD","11748263,1732409,7721873,10880230"
"1803","IL6","F3","fantom5",""
"1804","IL6","IL6R","HPMR,uniprot,fantom5,HPRD","3136546,14557255,12829785"
"1805","IL6","IL6ST","HPRD,HPMR,fantom5,uniprot","8293462,3136546,14557255"
"1806","IL7","IL2RG","HPMR,fantom5,HPRD","7522165,11858939,9010926"
"1807","IL7","IL7R","HPRD,uniprot,fantom5,HPMR","7522165,11858939,10390077"
"1808","IL8","CD79A","fantom5",""
"1809","IL8","CXCR1","HPRD,HPMR,fantom5,IUPHAR","8137938,1379593,10188995,15946947,8940121,15282370,1840701"
"1810","IL8","CXCR2","HPRD,fantom5,IUPHAR,HPMR","11511101),1379593,10188995,15946947,8940121,15282370,9464567,8702798,8626516"
"1811","IL8","ACKR1","fantom5,HPRD","9921412,174"
"1812","IL8","KDR","fantom5",""
"1813","IL8","SDC1","fantom5,HPRD","12902511"
"1814","IL8","SDC2","fantom5","14527339"
"1815","IL8","SDC3","fantom5",""
"1816","IL9","IL2RG","HPMR,fantom5","9535918"
"1817","IL9","IL9R","fantom5,uniprot,HPMR,HPRD","9535918,116"
"1818","INHA","ACVR2A","fantom5,HPMR","12493742"
"1819","INHA","ACVR2B","fantom5,HPMR","29747587"
"1820","INHA","ACVR1","fantom5,HPMR","29747587"
"1821","INHA","TGFBR3","HPRD,HPMR,fantom5","12493742,11"
"1822","INHBA","ACVR1","HPRD,fantom5","11266516"
"1823","INHBA","ACVR1B","HPMR,fantom5,HPRD","8167568,84"
"1824","INHBA","ACVR2A","HPRD,fantom5,HPMR","12466190,11"
"1825","INHBA","ACVR2B","HPRD,fantom5","9202237"
"1826","INHBA","BAMBI","HPMR,fantom5","10918299"
"1827","INHBA","ENG","fantom5,HPRD","9872992"
"1828","INHBA","SMAD3","reactome",""
"1829","INHBA","TGFBR3","HPRD,fantom5","10746731"
"1830","INHBB","ACVR1","fantom5,HPRD","11266516"
"1831","INHBB","ACVR1B","fantom5,HPRD","11266516,12032389,15196700"
"1832","INHBB","ACVR1C","fantom5,HPRD","15196700"
"1833","INHBB","ACVR2A","fantom5,HPMR,HPRD","12466190,11"
"1834","INHBB","ACVR2B","fantom5,HPRD","9202237"
"1835","INHBB","SMAD3","reactome",""
"1836","INHBC","ACVR1","fantom5,HPRD","12651901"
"1837","INHBC","ACVR1B","fantom5,HPRD","12651901"
"1838","INHBC","ACVR2A","HPRD,fantom5","12651901"
"1839","INHBC","ACVR2B","HPRD,fantom5","12651901"
"1840","INHBE","ACVR2B","fantom5",""
"1841","INHBE","ACVR2B","fantom5",""
"1842","INHBE","ACVR2B","fantom5",""
"1843","INHBE","ACVR2B","fantom5",""
"1844","INSL3","ADCYAP1R1","reactome",""
"1845","INSL3","ADRB2","reactome",""
"1846","INSL3","ADRB3","reactome",""
"1847","INSL3","GPR20","reactome",""
"1848","INSL3","GPR84","reactome",""
"1849","INSL3","PTH1R","reactome",""
"1850","INSL3","RAMP2","reactome",""
"1851","INSL3","RAMP3","reactome",""
"1852","INSL3","RXFP2","HPRD,IUPHAR,fantom5,HPMR","12114498,15649866,20560146,15649866"
"1853","INSL3","TSHR","reactome",""
"1854","INSL3","VIPR1","reactome",""
"1855","INSL5","ADRA2A","reactome",""
"1856","INSL5","GRM7","reactome",""
"1857","INSL5","MTNR1A","reactome",""
"1858","INSL5","RXFP3","IUPHAR,fantom5","15525639"
"1859","INSL5","RXFP4","HPMR,IUPHAR,fantom5","15465925,16"
"1860","INS","IGF1R","fantom5,HPRD","1851182"
"1861","INS","INSR","HPRD,HPMR,uniprot,IUPHAR,fantom5","2550426"
"1862","INS","LRP2","fantom5,HPRD","9773776"
"1863","IRAK4","TLR4","reactome",""
"1864","IRAK4","TLR6","reactome",""
"1865","IRAK4","TLR7","reactome",""
"1866","ITGB3BP","ITGB3","fantom5,HPRD","7593198,119"
"1867","ITGB3BP","ITGB5","HPRD,fantom5","10579726"
"1868","ITIH2","FCER1A","fantom5,HPRD","10917520"
"1869","JAG1","NOTCH1","HPRD,fantom5,uniprot,HPMR","7697721,11"
"1870","JAG1","NOTCH2","HPMR,fantom5,uniprot,HPRD","10551863,11"
"1871","JAG1","NOTCH3","HPMR,fantom5,uniprot,HPRD","11006133,14714274,12482954"
"1872","JAG1","NOTCH4","uniprot","24563863"
"1873","JAG2","NOTCH1","HPMR,uniprot,fantom5,HPRD","11006133"
"1874","JAG2","NOTCH2","HPRD,uniprot,fantom5","10958687"
"1875","JAG2","NOTCH3","uniprot,fantom5,HPMR,HPRD","11006133"
"1876","JAG2","NOTCH4","uniprot",""
"1877","JAM3","ITGB1","reactome",""
"1878","JAM3","ITGB2","reactome",""
"1879","KISS1","KISS1R","fantom5,IUPHAR,HPMR,HPRD","12944565,11385580,15665093,11385580,11457843,11457843"
"1880","KISS1","MMP24","HPRD,fantom5","12879005"
"1881","KITLG","EPOR","fantom5,HPRD","11124255"
"1882","KITLG","KIT","fantom5,IUPHAR,HPMR,HPRD","1698556,1375232,7680037"
"1883","KLK3","EPOR","fantom5,HPRD","10374881"
"1884","KNG1","ADRA2A","reactome",""
"1885","KNG1","BDKRB1","HPMR,IUPHAR,fantom5","8063797,9111052,10422787,9313952"
"1886","KNG1","BDKRB2","HPMR,IUPHAR,fantom5","8063797,8302267,9203620"
"1887","KNG1","CD93","fantom5,HPRD","12213329,87"
"1888","KNG1","GP1BA","fantom5,HPRD","9269768"
"1889","KNG1","GPR135","fantom5,HPMR","14530218,14"
"1890","KNG1","GRM7","reactome",""
"1891","KNG1","ITGAM","fantom5",""
"1892","KNG1","ITGB2","fantom5,HPRD","10845911"
"1893","KNG1","MTNR1A","reactome",""
"1894","KNG1","PLAUR","HPRD,fantom5","14764580"
"1895","KNG1","RXFP4","HPRD,fantom5","14530218"
"1896","KNG1","SDC2","fantom5",""
"1897","KRTAP4-12","AQP1","fantom5,HPRD","16189514"
"1898","KRTAP4-12","CATSPER1","HPRD,fantom5","16189514"
"1899","KRTAP4-12","CLDN2","HPRD,fantom5","16189514"
"1900","KRTAP4-12","CNTFR","HPRD,fantom5","16189514"
"1901","KRTAP4-12","LINGO1","fantom5,HPRD","16189514"
"1902","KRTAP4-12","PDGFRB","fantom5,HPRD","16189514"
"1903","KRTAP4-12","PLSCR4","fantom5,HPRD","16189514"
"1904","L1CAM","CNTN1","HPRD,fantom5","7595520"
"1905","L1CAM","EGFR","fantom5","14718570"
"1906","L1CAM","EPHB2","fantom5",""
"1907","L1CAM","ERBB2","fantom5","22815787"
"1908","L1CAM","ERBB3","fantom5","22815787"
"1909","L1CAM","FGFR2","fantom5",""
"1910","L1CAM","ITGA5","fantom5,HPRD","10871287"
"1911","L1CAM","ITGAV","fantom5,HPRD","10871287"
"1912","LACRT","SDC1","fantom5,HPRD","16982797"
"1913","LAMA1","GPC1","fantom5",""
"1914","LAMA1","ITGA1","HPRD,fantom5","9688542"
"1915","LAMA1","ITGA2","HPRD,fantom5","9688542"
"1916","LAMA1","ITGA3","fantom5",""
"1917","LAMA1","ITGA6","fantom5",""
"1918","LAMA1","ITGA7","fantom5,HPMR","11278916"
"1919","LAMA1","ITGB1","HPRD,reactome,fantom5,HPMR","11278916,97"
"1920","LAMA1","ITGB4","fantom5",""
"1921","LAMA1","ITGB8","HPMR,fantom5","7542940"
"1922","LAMA1","NT5E","HPRD,fantom5","10470109"
"1923","LAMA1","RPSA","HPMR,fantom5","2970671"
"1924","LAMA1","SDC2","fantom5",""
"1925","LAMA1","SDC4","fantom5",""
"1926","LAMA1","TMPRSS6","fantom5,HPRD",""
"1927","LAMA2","ITGA1","fantom5",""
"1928","LAMA2","ITGA2","fantom5",""
"1929","LAMA2","ITGA3","fantom5",""
"1930","LAMA2","ITGA6","fantom5",""
"1931","LAMA2","ITGA7","HPMR,fantom5","11278916"
"1932","LAMA2","ITGB1","reactome,fantom5,HPMR","11278916"
"1933","LAMA2","ITGB4","fantom5",""
"1934","LAMA2","RPSA","HPRD,fantom5,HPMR","2970671,111"
"1935","LAMA3","ITGA3","reactome",""
"1936","LAMA3","ITGB1","reactome",""
"1937","LAMA3","ITGB4","reactome",""
"1938","LAMA3","SDC2","fantom5,HPRD","11373281"
"1939","LAMA4","ITGA3","fantom5",""
"1940","LAMA4","ITGA6","fantom5",""
"1941","LAMA4","ITGAV","fantom5",""
"1942","LAMA4","ITGB1","fantom5,reactome",""
"1943","LAMA5","BCAM","fantom5,HPRD","12244066,11"
"1944","LAMA5","ITGA2","fantom5",""
"1945","LAMA5","ITGA3","reactome,fantom5",""
"1946","LAMA5","ITGA6","fantom5",""
"1947","LAMA5","ITGB1","reactome,fantom5",""
"1948","LAMA5","ITGB4","fantom5,reactome",""
"1949","LAMA5","SDC1","fantom5",""
"1950","LAMB1","ITGA1","fantom5",""
"1951","LAMB1","ITGA2","fantom5",""
"1952","LAMB1","ITGA3","reactome,fantom5",""
"1953","LAMB1","ITGA6","fantom5,HPMR","10842354"
"1954","LAMB1","ITGA7","fantom5",""
"1955","LAMB1","ITGAV","fantom5",""
"1956","LAMB1","ITGB1","reactome,HPMR,fantom5","10842354"
"1957","LAMB1","ITGB4","reactome,fantom5",""
"1958","LAMB2","ITGA3","reactome",""
"1959","LAMB2","ITGB1","reactome",""
"1960","LAMB2","ITGB4","reactome",""
"1961","LAMB2","RPSA","fantom5,HPMR","2970671"
"1962","LAMB3","CD151","fantom5",""
"1963","LAMB3","COL17A1","fantom5",""
"1964","LAMB3","ITGA2","fantom5",""
"1965","LAMB3","ITGA3","fantom5,reactome",""
"1966","LAMB3","ITGA6","fantom5",""
"1967","LAMB3","ITGB1","fantom5,reactome",""
"1968","LAMB3","ITGB4","reactome,fantom5",""
"1969","LAMC1","ITGA1","fantom5",""
"1970","LAMC1","ITGA2","fantom5",""
"1971","LAMC1","ITGA3","reactome,fantom5",""
"1972","LAMC1","ITGA6","fantom5",""
"1973","LAMC1","ITGA7","fantom5",""
"1974","LAMC1","ITGAV","fantom5",""
"1975","LAMC1","ITGB1","reactome,fantom5",""
"1976","LAMC1","ITGB4","fantom5,reactome",""
"1977","LAMC2","CD151","fantom5",""
"1978","LAMC2","COL17A1","fantom5",""
"1979","LAMC2","ITGA2","fantom5",""
"1980","LAMC2","ITGA3","reactome,HPMR,fantom5","10842354"
"1981","LAMC2","ITGA6","HPMR,fantom5","10842354"
"1982","LAMC2","ITGB1","reactome,HPMR,fantom5","10842354"
"1983","LAMC2","ITGB4","fantom5,HPMR,reactome","10842354"
"1984","LAMC3","ITGA2","fantom5",""
"1985","LAMC3","ITGA3","fantom5",""
"1986","LAMC3","ITGA6","fantom5",""
"1987","LAMC3","ITGB1","fantom5",""
"1988","LAMC3","ITGB4","fantom5",""
"1989","LCN1","LMBR1L","HPRD,fantom5","11287427"
"1990","LCN2","LRP2","fantom5,HPRD","15670845"
"1991","LEFTY1","ACVR1B","reactome",""
"1992","LEFTY1","ACVR2A","reactome",""
"1993","LEFTY1","ACVR2B","reactome",""
"1994","LEFTY2","ACVR1B","reactome",""
"1995","LEFTY2","ACVR2A","reactome",""
"1996","LEFTY2","ACVR2B","reactome,HPMR,fantom5","11952836"
"1997","LEP","LEPR","HPMR,fantom5,IUPHAR,HPRD","9463481,861"
"1998","LEP","LRP2","fantom5",""
"1999","LGALS1","CD69","uniprot",""
"2000","LGALS3BP","ITGB1","HPRD,fantom5","9501082"
"2001","LGALS3BP","VANGL1","fantom5",""
"2002","LGALS9","HAVCR2","literature","22437870"
"2003","LHB","ADCYAP1R1","reactome",""
"2004","LHB","ADRB2","reactome",""
"2005","LHB","ADRB3","reactome",""
"2006","LHB","GPR20","reactome",""
"2007","LHB","GPR84","reactome",""
"2008","LHB","LHCGR","HPRD,HPMR,IUPHAR,fantom5","3470775,12727981,1922095"
"2009","LHB","PTH1R","reactome",""
"2010","LHB","RAMP2","reactome",""
"2011","LHB","RAMP3","reactome",""
"2012","LHB","TSHR","reactome",""
"2013","LHB","VIPR1","reactome",""
"2014","LIF","IL6ST","HPRD,HPMR,fantom5","9716487,127"
"2015","LIF","LIFR","HPRD,fantom5,HPMR","9716487,12601009,16051226"
"2016","LIN7C","ABCA1","fantom5,HPRD","16192275"
"2017","LIN7C","HTR2C","fantom5,HPRD","12006486"
"2018","LIN7C","KCNJ4","fantom5",""
"2019","LIPC","LRP1","fantom5,HPRD","9716487,127"
"2020","LIPH","LPAR1","HPMR,fantom5","9716487,12601009,16051226"
"2021","LIPH","LPAR2","HPMR,fantom5","16192275"
"2022","LIPH","LPAR4","HPMR,fantom5","12006486"
"2023","LPA","ITGAM","fantom5",""
"2024","LPA","ITGB2","fantom5",""
"2025","LPA","LRP2","fantom5,HPRD","10073957"
"2026","LPL","CD44","fantom5",""
"2027","LPL","GPIHBP1","fantom5","17403372"
"2028","LPL","LRP1","fantom5,HPRD","1281473,7510694,7989348"
"2029","LPL","LRP2","HPRD,fantom5","7686151"
"2030","LPL","SDC1","fantom5","9294130"
"2031","LPL","VLDLR","fantom5,HPRD","7592875"
"2032","LRP1B","PLAUR","fantom5,HPRD","11384978,12"
"2033","LRPAP1","LDLR","HPRD,fantom5","7822276"
"2034","LRPAP1","LRP1","HPMR,fantom5,HPRD","14596620,10747918,1374383,1718973"
"2035","LRPAP1","LRP2","HPRD,fantom5","7512726"
"2036","LRPAP1","LRP8","HPRD,fantom5","12899622"
"2037","LRPAP1","SORL1","fantom5,HPRD","11557679,89"
"2038","LRPAP1","SORT1","fantom5,HPRD","9013611"
"2039","LRPAP1","VLDLR","fantom5,HPRD","7592875,106"
"2040","LTA","CACHD1","fantom5",""
"2041","LTA","EDNRA","fantom5",""
"2042","LTA","LTBR","fantom5,HPRD","8171323"
"2043","LTA","TNFRSF14","fantom5,IUPHAR,uniprot,HPRD","9153189,946"
"2044","LTA","TNFRSF1A","fantom5,uniprot,IUPHAR,HPRD","8387891"
"2045","LTA","TNFRSF1B","IUPHAR,uniprot,fantom5,HPRD","9552007,8123048,2160731"
"2046","LTBP1","ITGB5","HPRD,fantom5","12358597"
"2047","LTBP3","ITGB5","HPRD,fantom5","12358597"
"2048","LTB","CD40","HPMR,fantom5","7916655"
"2049","LTB","LTBR","HPRD,HPMR,fantom5,uniprot","7995952,792"
"2050","LTB","TNFRSF1A","fantom5,HPRD","7995952"
"2051","LTF","GP9","fantom5",""
"2052","LTF","GPR162","fantom5",""
"2053","LTF","LRP1","HPMR,fantom5,HPRD","15178744,15"
"2054","LTF","LRP11","HPMR,fantom5","1464627"
"2055","LTF","TFRC","fantom5",""
"2056","LUM","ITGB1","reactome",""
"2057","LY6G5C","TMEM8A","fantom5",""
"2058","LY86","CD180","fantom5,HPRD","9763566,969"
"2059","LYPD3","AGR2","fantom5",""
"2060","LYZ","ITGAL","fantom5",""
"2061","MADCAM1","CD44","HPRD,fantom5","2474557"
"2062","MADCAM1","ITGA4","HPRD,fantom5,HPMR","8600538,10702270,9873398"
"2063","MADCAM1","ITGB7","HPMR,fantom5,HPRD","8600538,923"
"2064","MAPK1","FGFR2","reactome",""
"2065","MATN1","ITGA1","HPRD,fantom5","10196235"
"2066","MATN1","ITGB1","fantom5","10196235"
"2067","MATN1","PTPRD","fantom5",""
"2068","MBL2","CALCR","fantom5,HPRD","11560994"
"2069","MBL2","CD93","HPRD,fantom5","9476117"
"2070","MDK","ALK","fantom5,HPMR,HPRD","12122009"
"2071","MDK","GPC2","fantom5",""
"2072","MDK","ITGA4","fantom5",""
"2073","MDK","ITGA6","fantom5",""
"2074","MDK","ITGB1","fantom5",""
"2075","MDK","LRP1","fantom5,HPRD","10772929"
"2076","MDK","LRP2","fantom5,HPRD","10772929"
"2077","MDK","PTPRZ1","HPRD,fantom5,uniprot","10212223"
"2078","MDK","SDC1","fantom5,HPRD","9089390"
"2079","MDK","SDC3","HPRD,fantom5","9089390"
"2080","MDK","SDC4","HPRD,fantom5","8621465"
"2081","MDK","TSPAN1","HPRD,fantom5","18851943"
"2082","MEPE","PHEX","fantom5","15664000"
"2083","MFAP2","NOTCH1","fantom5","16492672"
"2084","MFAP5","NOTCH1","fantom5","16492672"
"2085","MFGE8","ITGAV","fantom5","24441829"
"2086","MFGE8","ITGB3","fantom5","24441829"
"2087","MFGE8","PDGFRB","fantom5","21868707"
"2088","MFI2","TFRC","fantom5",""
"2089","MFNG","NOTCH1","fantom5,HPRD","10935626,12"
"2090","MFNG","NOTCH2","fantom5,HPRD","11346656"
"2091","MIA","CDH19","fantom5",""
"2092","MIA","CDH7","fantom5","19200257"
"2093","MLLT4","EPHA7","fantom5,HPRD","9707552"
"2094","MLLT4","EPHB2","HPRD,fantom5","9707552"
"2095","MLLT4","EPHB3","HPRD,fantom5","9707552"
"2096","MLLT4","EPHB6","HPRD,fantom5","9707552"
"2097","MLLT4","F11R","fantom5,HPRD","10856295"
"2098","MLLT4","NECTIN3","fantom5,HPRD",""
"2099","MLLT4","NECTIN4","fantom5,HPRD",""
"2100","MLLT4","NRXN2","fantom5,HPRD","9707552"
"2101","MLLT4","NRXN3","HPRD,fantom5","9707552"
"2102","MLLT4","NECTIN1","HPRD,fantom5","10225955,11"
"2103","MLLT4","PVRL2","HPRD,fantom5","10733589,1"
"2104","MLN","MLNR","HPRD,IUPHAR,fantom5,HPMR","10381885,15677347,11461914,11781320,16531413,11259768,10381885,12054506"
"2105","MMP12","PLAUR","HPRD,fantom5","12195704"
"2106","MMP13","LRP1","HPRD,fantom5,HPMR","10514495"
"2107","MMP1","CD44","HPRD,fantom5","11381077"
"2108","MMP1","ITGA2","fantom5,HPRD","11359774,11"
"2109","MMP2","SDC2","fantom5","17623663"
"2110","MMP7","CD151","HPRD,fantom5","16200075"
"2111","MMP7","CD44","fantom5,HPRD","11825873"
"2112","MMP7","CDH6","fantom5",""
"2113","MMP7","ERBB4","fantom5","17638887"
"2114","MMP9","CD44","fantom5,HPRD","10652271,18"
"2115","MMP9","EPHB2","HPRD,fantom5","18713744"
"2116","MMP9","ITGAM","fantom5",""
"2117","MMP9","ITGB2","fantom5",""
"2118","MMP9","LRP1","HPMR,fantom5","11279011"
"2119","MST1","MST1R","HPRD,HPMR,fantom5,IUPHAR","8062829,905"
"2120","MSTN","ACVR2B","HPRD,fantom5","11459935"
"2121","MT-RNR2","ADRA2A","reactome",""
"2122","MT-RNR2","GRM7","reactome",""
"2123","MT-RNR2","MTNR1A","reactome",""
"2124","MTMR4","SMAD3","reactome",""
"2125","MUC2","AGR2","fantom5","19359471"
"2126","MUC7","SELL","fantom5,HPRD","9538010"
"2127","MYOC","FZD1","fantom5","19188438"
"2128","MYOC","FZD10","fantom5","19188438"
"2129","MYOC","FZD3","fantom5","19188438"
"2130","MYOC","FZD4","fantom5","19188438"
"2131","MYOC","FZD7","fantom5","19188438"
"2132","NAMPT","INSR","fantom5,HPMR","15604363"
"2133","NCAM1","CACNA1C","fantom5",""
"2134","NCAM1","FGFR1","HPRD,fantom5","12121226"
"2135","NCAM1","FGFR2","fantom5",""
"2136","NCAM1","GFRA1","HPRD,fantom5","12837245"
"2137","NCAM1","PTPRA","fantom5",""
"2138","NCAM1","ROBO1","fantom5,HPMR","16226035"
"2139","NCAM1","ROBO3","HPMR,fantom5","16226035"
"2140","NCAN","CDH2","fantom5",""
"2141","NCAN","SDC3","fantom5",""
"2142","NDP","FZD4","fantom5,HPMR","15035989"
"2143","NDP","LGR4","fantom5,HPMR","23444378"
"2144","NECTIN2","CD226","uniprot",""
"2145","NECTIN2","PVRIG","uniprot",""
"2146","NECTIN3","TIGIT","uniprot",""
"2147","NGF","KIDINS220","fantom5",""
"2148","NGF","MAGED1","fantom5",""
"2149","NGF","NGFR","HPRD,fantom5,IUPHAR,HPMR","11114882,15"
"2150","NGF","NGFRAP1","fantom5",""
"2151","NGF","NTRK1","uniprot,fantom5,HPMR,HPRD","10490030,15"
"2152","NGF","SORCS3","fantom5,HPRD","15710408"
"2153","NGF","SORT1","HPRD,fantom5,HPMR","14985763"
"2154","NID1","COL13A1","HPRD,fantom5","11956183"
"2155","NID1","ITGA3","fantom5",""
"2156","NID1","ITGAV","fantom5,HPRD","9686320"
"2157","NID1","ITGB1","fantom5",""
"2158","NID1","ITGB3","fantom5,HPRD","8831898,969"
"2159","NID1","PTPRF","fantom5,HPMR","9647658"
"2160","NID2","COL13A1","HPRD,fantom5","11956183"
"2161","NLGN1","NRXN1","HPRD,HPMR,fantom5","8576240,145"
"2162","NLGN1","NRXN2","fantom5","7736595"
"2163","NLGN1","NRXN3","HPMR,fantom5","8576240"
"2164","NLGN2","NRXN1","HPMR,fantom5,HPRD","8576240"
"2165","NLGN2","NRXN2","fantom5,HPMR","8576240"
"2166","NLGN2","NRXN3","fantom5,HPMR","8576240"
"2167","NLGN3","NRXN1","fantom5,HPMR,HPRD","8576240,933"
"2168","NLGN3","NRXN2","HPRD,fantom5,HPMR","8576240"
"2169","NLGN3","NRXN3","fantom5,HPMR,HPRD","8576240"
"2170","NMB","BRS3","fantom5","9920658"
"2171","NMB","GRPR","IUPHAR,fantom5,HPMR","1720612,10454496,7838118,21729729,19463875"
"2172","NMB","NMBR","HPRD,HPMR,IUPHAR,fantom5","15169928,10454496,7838118,10544247,8253343,8392057"
"2173","NMS","ADRA2A","reactome",""
"2174","NMS","GRM7","reactome",""
"2175","NMS","MTNR1A","reactome",""
"2176","NMS","NMUR1","HPRD,HPMR,fantom5,IUPHAR","15635449"
"2177","NMS","NMUR2","IUPHAR,fantom5,HPMR","15635449"
"2178","NMU","ADRA2A","reactome",""
"2179","NMU","GRM7","reactome",""
"2180","NMU","MTNR1A","reactome",""
"2181","NMU","NMUR1","IUPHAR,fantom5,HPMR,HPRD","10894543,15292653,10894543,10899166,15331768,10811630"
"2182","NMU","NMUR2","HPRD,HPMR,IUPHAR,fantom5","10894543,15292653,10894543,10899166,15331768,10887190"
"2183","NODAL","ACVR1B","HPMR,fantom5,reactome","11952836"
"2184","NODAL","ACVR1C","fantom5,HPMR","12606401"
"2185","NODAL","ACVR2A","reactome,HPMR,fantom5","11952836"
"2186","NODAL","ACVR2B","fantom5,HPMR,reactome","11952836"
"2187","NODAL","SMAD3","reactome",""
"2188","NOV","NOTCH1","HPRD,fantom5,HPMR","15906253,12"
"2189","NOV","PLXNA1","fantom5",""
"2190","NPB","ADRA2A","reactome",""
"2191","NPB","GRM7","reactome",""
"2192","NPB","MTNR1A","reactome",""
"2193","NPB","NPBWR1","IUPHAR,fantom5,HPMR,HPRD","12401809,12"
"2194","NPB","NPBWR2","fantom5,IUPHAR,HPRD","12401809"
"2195","NPFF","NPFFR1","HPRD,IUPHAR,fantom5,HPMR","11024015,12242085,17011599,12421602"
"2196","NPFF","NPFFR2","HPRD,IUPHAR,fantom5,HPMR","11024015,12421602,11325787,10851242,12609745"
"2197","NPNT","ITGA8","HPRD,fantom5,HPMR","11470831"
"2198","NPNT","ITGB1","fantom5,HPMR","11470831"
"2199","NPPA","NPR1","HPMR,IUPHAR,fantom5,reactome,HPRD","15911069,8700153,12547834"
"2200","NPPA","NPR3","HPRD,HPMR,fantom5","2169733"
"2201","NPPB","NPR1","IUPHAR,fantom5,HPRD","8700153,7901875,1309330"
"2202","NPPB","NPR2","fantom5,HPMR","2570358"
"2203","NPPB","NPR3","HPRD,fantom5,HPMR","1309330,79"
"2204","NPPC","NPR2","HPMR,fantom5,IUPHAR,HPRD","11952095,1309330,12709393"
"2205","NPPC","NPR3","fantom5,HPRD","11533490,13"
"2206","NPS","ADCYAP1R1","reactome",""
"2207","NPS","ADRB2","reactome",""
"2208","NPS","ADRB3","reactome",""
"2209","NPS","GPR20","reactome",""
"2210","NPS","GPR84","reactome",""
"2211","NPS","NPSR1","fantom5,IUPHAR,HPMR","15312648"
"2212","NPS","PTH1R","reactome",""
"2213","NPS","RAMP2","reactome",""
"2214","NPS","RAMP3","reactome",""
"2215","NPS","TSHR","reactome",""
"2216","NPS","VIPR1","reactome",""
"2217","NPVF","NPFFR1","HPMR,fantom5,IUPHAR","11024015,12242085,12421602,17337079"
"2218","NPVF","NPFFR2","fantom5,IUPHAR","12242085,12"
"2219","NPW","ADRA2A","reactome",""
"2220","NPW","GRM7","reactome",""
"2221","NPW","MTNR1A","reactome",""
"2222","NPW","NPBWR1","HPRD,HPMR,IUPHAR,fantom5","12130646,12401809,12130646"
"2223","NPW","NPBWR2","HPRD,IUPHAR,fantom5,HPMR","12130646,12401809,12719537,12130646"
"2224","NPY","ADRA2A","reactome",""
"2225","NPY","FAP","fantom5","21314817"
"2226","NPY","GRM7","reactome",""
"2227","NPY","MC4R","HPRD,fantom5","12015205"
"2228","NPY","MTNR1A","reactome",""
"2229","NPY","NPFFR2","HPRD,fantom5","12609745"
"2230","NPY","NPY1R","HPRD,HPMR,fantom5","9549761,12007534,7559383,9001438"
"2231","NPY","NPY2R","HPRD,HPMR,fantom5,IUPHAR","9549761,8632753,7592910,9001438,7559383,12007534"
"2232","NPY","NPY4R","HPRD,fantom5,IUPHAR,HPMR","7592911,749"
"2233","NPY","NPY5R","fantom5,IUPHAR,HPMR,HPRD","12417094,8824284,12007534"
"2234","NPY","PRLHR","IUPHAR,fantom5","15885496"
"2235","NRG1","ERBB2","cellsignal.com,fantom5,HPMR","1350381,751"
"2236","NRG1","ERBB3","HPRD,fantom5,IUPHAR,cellsignal.com,HPMR","7514177,7592681,11555649,9565587,8702572"
"2237","NRG1","ERBB4","HPRD,IUPHAR,fantom5","8062828,10537356,7721889,9565587"
"2238","NRG1","GPC1","fantom5",""
"2239","NRG2","ERBB2","reactome,cellsignal.com,fantom5",""
"2240","NRG2","ERBB3","HPRD,fantom5,cellsignal.com,IUPHAR,HPMR","9168115,917"
"2241","NRG2","ERBB4","HPMR,IUPHAR,cellsignal.com,fantom5,HPRD","9168115,917"
"2242","NRG3","ERBB2","cellsignal.com",""
"2243","NRG3","ERBB3","cellsignal.com",""
"2244","NRG3","ERBB4","HPRD,IUPHAR,fantom5,HPMR","9275162"
"2245","NRG4","EGFR","fantom5",""
"2246","NRG4","ERBB2","reactome,fantom5",""
"2247","NRG4","ERBB4","HPRD,IUPHAR,cellsignal.com,fantom5","10348342"
"2248","NRTN","GFRA1","fantom5,HPMR,HPRD,reactome","9182803,941"
"2249","NRTN","GFRA2","reactome,HPRD,HPMR,fantom5,uniprot","9182803,108"
"2250","NRTN","GFRA3","reactome",""
"2251","NRTN","RET","reactome,HPRD,HPMR,fantom5","9182803,919"
"2252","NTF3","NGFR","IUPHAR,fantom5",""
"2253","NTF3","NTRK1","uniprot","17439940"
"2254","NTF3","NTRK2","HPRD,fantom5","8621424"
