"","ligand","receptor","source","PMIDs"
"1461","GNAS","ADCY9","fantom5",""
"1462","GNAS","ADORA1","fantom5,HPRD","10521440"
"1463","GNAS","ADRB3","HPRD,fantom5","8011597"
"1464","GNAS","AVPR2","fantom5,HPRD","8621513"
"1465","GNAS","CRHR1","HPRD,fantom5","10598591"
"1466","GNAS","GCGR","fantom5,HPRD","1908089"
"1467","GNAS","GLP1R","fantom5",""
"1468","GNAS","HTR6","fantom5,HPRD","11916537"
"1469","GNAS","LHCGR","HPRD,fantom5","10493819"
"1470","GNAS","PTGDR","HPRD,fantom5","12672054"
"1471","GNAS","PTGIR","HPRD,fantom5","12488443"
"1472","GNAS","TSHR","fantom5,HPRD","9525885"
"1473","GNAS","VIPR1","HPRD,fantom5","11812005"
"1474","GNB3","GABBR2","fantom5",""
"1475","GNB3","TGFBR1","HPRD,fantom5","15761153"
"1476","GNRH1","GNRHR","HPRD,HPMR,fantom5,IUPHAR","414473,17452338,11726197,17095587,9414473"
"1477","GNRH2","GNRHR","fantom5,IUPHAR","17452338,17942747,19638591"
"1478","GPC3","CD81","fantom5","23665349"
"1479","GPC3","IGF1R","fantom5","18413366"
"1480","GPC3","LRP1","reactome",""
"1481","GPC3","LRP2","reactome",""
"1482","GPC6","LRP1","reactome",""
"1483","GPC6","LRP2","reactome",""
"1484","GPHA2","TSHR","HPMR,fantom5","12045258"
"1485","GPI","AMFR","fantom5,HPMR,HPRD","12527360,17"
"1486","GREM1","KDR","fantom5",""
"1487","GRP","BRS3","fantom5","11112777"
"1488","GRP","GRPR","fantom5,IUPHAR,HPMR,HPRD","1720612,7838118,10454496,19463875,7838118"
"1489","GRP","NMBR","fantom5","10545285"
"1490","GSTP1","TRAF2","HPRD,fantom5,HPMR","16636664"
"1491","GUCA2A","GUCY2C","HPRD,HPMR,fantom5","10845107,10601865,11889121"
"1492","GUCA2B","GUCY2C","HPMR,fantom5","10845107"
"1493","GUCA2B","GUCY2D","HPRD,fantom5","9698373"
"1494","GZMB","CHRM3","fantom5,HPRD","11665980"
"1495","GZMB","IGF2R","HPMR,fantom5,HPRD","11081635"
"1496","GZMB","PGRMC1","fantom5",""
"1497","HAS2","CD44","fantom5,HPMR","1694723"
"1498","HAS2","HMMR","fantom5,HPMR","1376732"
"1499","HBEGF","CD44","HPRD,fantom5","7532176"
"1500","HBEGF","CD82","HPRD,fantom5","10749879"
"1501","HBEGF","CD9","fantom5,HPRD","1939101,11735113,11846885,8194524"
"1502","HBEGF","EGFR","HPRD,HPMR,cellsignal.com,IUPHAR,fantom5","12725245"
"1503","HBEGF","ERBB2","reactome,fantom5","12958167"
"1504","HBEGF","ERBB4","fantom5,IUPHAR,HPMR,HPRD","1840698,914"
"1505","HBEGF","PRLR","fantom5",""
"1506","HCRT","HCRTR1","fantom5,IUPHAR,HPMR,HPRD","9491897,10498827,14691055,11403934,12606634,11250867,12702704,11266181,11162621,12208495,18599270,21362456"
"1507","HCRT","HCRTR2","HPRD,HPMR,IUPHAR,fantom5","9491897,12702704,11162621,12208495,18599270"
"1508","HCRT","NPFFR2","fantom5,HPRD","12609745"
"1509","HDC","HRH1","fantom5,HPMR",""
"1510","HDC","HRH2","fantom5,HPMR",""
"1511","HDC","HRH3","fantom5,HPMR",""
"1512","HDC","HRH4","fantom5,HPMR",""
"1513","HEBP1","ADRA2A","reactome",""
"1514","HEBP1","FPR3","IUPHAR,fantom5","15623572"
"1515","HEBP1","GRM7","reactome",""
"1516","HEBP1","MTNR1A","reactome",""
"1517","HGF","CD44","fantom5","10037743"
"1518","HGF","ITGB1","reactome",""
"1519","HGF","MET","HPRD,HPMR,IUPHAR,uniprot,fantom5","1846706,1655405,15167892,18495663"
