ENSMUSG00000030111ENSMUSG00000025809
ENSMUSG00000020681ENSMUSG00000025809
ENSMUSG00000025964ENSMUSG00000025809
ENSMUSG00000014725ENSMUSG00000025809
ENSMUSG00000041936ENSMUSG00000025809
ENSMUSG00000041936ENSMUSG00000000555
ENSMUSG00000041936ENSMUSG00000027087
ENSMUSG00000041936ENSMUSG00000020689
ENSMUSG00000041936ENSMUSG00000027111
ENSMUSG00000041936ENSMUSG00000001507
ENSMUSG00000041936ENSMUSG00000020592
ENSMUSG00000041936ENSMUSG00000015533
ENSMUSG00000029368ENSMUSG00000000290
ENSMUSG00000020609ENSMUSG00000027009
ENSMUSG00000020609ENSMUSG00000020122
ENSMUSG00000020609ENSMUSG00000027995
ENSMUSG00000020609ENSMUSG00000034220
ENSMUSG00000020609ENSMUSG00000044827
ENSMUSG00000020609ENSMUSG00000026580
ENSMUSG00000020609ENSMUSG00000026581
ENSMUSG00000020609ENSMUSG00000005087
ENSMUSG00000022892ENSMUSG00000025809
ENSMUSG00000022892ENSMUSG00000001507
ENSMUSG00000022892ENSMUSG00000020122
ENSMUSG00000022892ENSMUSG00000000290
ENSMUSG00000022892ENSMUSG00000020592
ENSMUSG00000004892ENSMUSG00000025809
ENSMUSG00000024164ENSMUSG00000025809
ENSMUSG00000026874ENSMUSG00000040249
ENSMUSG00000026874ENSMUSG00000025809
ENSMUSG00000026874ENSMUSG00000027070
ENSMUSG00000026874ENSMUSG00000020122
ENSMUSG00000026874ENSMUSG00000030786
ENSMUSG00000026874ENSMUSG00000000290
ENSMUSG00000000303ENSMUSG00000025809
ENSMUSG00000053024ENSMUSG00000025809
ENSMUSG00000064293ENSMUSG00000025809
ENSMUSG00000027966ENSMUSG00000027087
ENSMUSG00000027966ENSMUSG00000027435
ENSMUSG00000027966ENSMUSG00000042284
ENSMUSG00000027966ENSMUSG00000055447
ENSMUSG00000022371ENSMUSG00000025809
ENSMUSG00000022371ENSMUSG00000027087
ENSMUSG00000001435ENSMUSG00000027087
ENSMUSG00000001435ENSMUSG00000020689
ENSMUSG00000001435ENSMUSG00000025743
ENSMUSG00000001435ENSMUSG00000034664
ENSMUSG00000001435ENSMUSG00000015533
ENSMUSG00000001435ENSMUSG00000005087
ENSMUSG00000001435ENSMUSG00000020357
ENSMUSG00000001435ENSMUSG00000042284
ENSMUSG00000001435ENSMUSG00000025321
ENSMUSG00000001506ENSMUSG00000025743
ENSMUSG00000001506ENSMUSG00000034664
