0,1
A2m,Itgb1
Ace,Itgb1
Adam23,Itgb1
Adam28,Itgb1
Agrn,Itgb1
Agrn,Itga5
Agrn,Itgav
Agrn,Itgb3
Agrn,Itga6
Agrn,Itga3
Agrn,Sdc1
Agrn,Itga2
Alb,Itgb2
Apob,Itga4
Apob,Egfr
Apob,Tlr2
Apob,Gpc1
Apob,Tlr1
Apob,Selp
Apob,Sell
Apob,Cd44
App,Itgb1
App,Itga3
App,Egfr
App,Itgb2
App,Sdc1
Bcan,Itgb1
C3,Itgb1
Hc,Lrp1
Hc,Itgb1
Hc,Lrp2
Hc,Egfr
Hc,Itgam
Hc,Itgb2
Cdh1,Itgb1
Cntn2,Itgb1
Cntn4,Itgb1
Col11a1,Itgav
Col11a1,Cd93
Col11a1,Itga1
Col11a1,Cd47
Col14a1,Itgb1
Col14a1,Itgav
Col18a1,Itgav
Col18a1,Itgb3
Col18a1,Sdc3
Col18a1,Itga2b
Col18a1,Itga2
Col18a1,Cd44
Col18a1,Flt4
Col18a1,Itga1
Col18a1,Itgb8
Col1a1,Sdc3
Col1a1,Itga2b
Col1a1,Mag
Col1a1,Cd47
Col1a2,Sdc3
Col1a2,Ddr1
Col1a2,Ddr2
Col1a2,Itga10
Col1a2,Mag
Col1a2,Cd47
Col1a2,Itgb8
Col2a1,Itgav
Col2a1,Sdc3
Col2a1,Cd93
Col2a1,Flt4
Col2a1,Cd47
Col3a1,Itgav
Col3a1,Cd93
Col3a1,Flt4
Col3a1,Itga1
Col3a1,Cd47
Col4a2,Itgb1
Col4a2,Itgav
Col4a2,Itga2
Col4a2,Itga1
Col4a2,Cd47
Col5a1,Itgav
Col5a1,Cd93
Col5a1,Itga2
Col5a1,Cd47
Col5a2,Itgav
Col5a2,Cd93
Col5a2,Itga2
Col5a2,Mag
Col5a2,Cd47
Col5a3,Itgb1
Col5a3,Itgav
Col5a3,Ddr1
Col5a3,Cd93
Col5a3,Itga2
Col5a3,Itga1
Col5a3,Cd47
Col6a1,Itga5
Col6a1,Itgav
Col6a1,Cd44
Col6a2,Itga5
Col6a2,Itgav
Col6a2,Cd44
Col6a3,Itga5
Col6a3,Itgav
Col6a3,Itgb3
Col6a3,Gpc1
Col6a3,Itga2b
Col6a3,Cd44
Col6a3,Itgb8
Col7a1,Itgav
Col7a1,Ddr1
Col7a1,Cd93
Col7a1,Flt4
Col7a1,Itga1
Col7a1,Mag
Col7a1,Cd47
Col8a1,Itgb1
Col8a1,Itga5
Col8a1,Itgav
Col8a1,Cd93
Col9a1,Itgb1
Col9a1,Itga5
Col9a1,Itgav
Col9a1,Cd93
Col9a1,Itga2
Col9a1,Cd44
Col9a1,Flt4
Col9a1,Itga1
Col9a1,Cd47
Col9a2,Itgb1
Col9a2,Itga5
Col9a2,Itgav
Col9a2,Cd93
Col9a2,Itga2b
Col9a2,Itga2
Col9a2,Cd44
Col9a2,Flt4
Col9a2,Itga1
Col9a2,Cd47
Col9a3,Itgb1
Col9a3,Itga5
Col9a3,Itgav
Col9a3,Cd93
Col9a3,Itga2
Col9a3,Itga1
Col9a3,Cd47
Cp,Itgb1
Cubn,Itgb1
