Protein stable ID	Gene name
	Gm28705
	Gm28704
	Gm28540
	Gm28540
	Gm28537
	Gm28538
	Gm29569
	Gm29569
ENSMUSP00000139713	Gm20867
ENSMUSP00000136459	Gm20867
	Gm21658
	Gm29568
	Gm29567
	Gm21198
	Gm29566
	Gm29565
	Gm29565
	Gm29147
	Gm29146
	Gm28664
	Gm28663
	Gm28663
	Gm29149
	Gm29148
	Gm29145
	Gm29144
	Gm28817
	Gm28816
	Gm28816
	Gm20808
ENSMUSP00000141047	Gm20806
ENSMUSP00000136000	Gm20806
	Gm28815
	Gm28814
	Gm28813
	Gm28813
	Gm29274
	Gm29274
	Gm29275
	Gm29275
ENSMUSP00000139523	Gm29276
	Gm21805
	Gm29645
	Gm28312
	Gm29165
	Gm21242
	Gm29042
	Gm29031
	Gm28311
	Gm28311
	Gm29032
	Gm28310
	Gm28310
	Gm29606
	Gm29606
	Gm28504
	Gm29607
	Gm28567
	Gm21248
	Gm28568
	Gm28568
	Gm29189
	Gm29286
	Gm29286
	Gm29285
	Gm28280
	Gm28280
	Gm21241
	Gm28159
	Gm28278
	Gm28278
	Gm28160
	Gm28157
	Gm28158
	Gm21257
	Gm28161
	Gm28695
	Gm28696
	Gm20791
	Gm28886
	Gm28886
	Gm20841
	Gm28899
	Gm29426
	Gm29426
	Gm28885
	Gm21856
	Gm28887
	Gm28896
	Gm29444
	Gm29444
	Gm21282
	Gm21783
	Gm28895
	Gm29445
	Gm29445
	Gm28894
	Gm21829
	Gm28457
	Gm28457
	Gm29324
	Gm29324
	Gm21779
	Gm28741
	Gm28741
	Gm20912
	Gm20801
	Gm28742
	Gm28458
	Gm28458
	Gm21919
	Gm28743
	Gm28459
	Gm28461
	Gm28461
	Gm28124
	Gm28124
	Gm21790
	Gm21728
	Gm28460
	Gm28460
	Gm28126
	Gm28851
	Gm28851
	Gm28125
	Gm28456
	Gm28456
	Gm21825
	Gm29073
	Gm29648
	Gm29647
	Gm29468
	Gm29646
	Gm29646
	Gm29469
	Gm29472
	Gm28549
	Gm28549
	Gm29473
	Gm29473
	Gm29211
	Gm29470
	Gm29212
	Gm21333
	Gm21247
	Gm29382
	Gm28224
	Gm29210
	Gm29210
	Gm28226
	Gm29213
	Gm29213
	Gm28225
	Gm28225
	Gm28550
	Gm28550
	Gm21344
	Gm28604
	Gm28604
	Gm20849
	Gm28603
	Gm28829
	Gm21901
	Gm28565
	Gm28565
	Gm28566
	Gm28566
	Gm28697
	Gm28697
	Gm28828
	Gm28554
	Gm28554
	Gm28831
	Gm28832
	Gm28832
	Gm21864
	Gm21802
	Gm28658
	Gm29238
	Gm29056
	Gm29056
	Gm21088
	Gm29239
	Gm29098
	Gm29098
	Gm54343
	Gm21170
	Gm21741
	Gm29373
	Gm29373
	Gm20862
	Gm54344
	Gm29370
	Gm29370
	Gm20863
	Gm21751
	Gm20864
	Gm29476
	Gm29166
	Gm29166
	Gm21717
	Gm28194
	Gm28194
	Gm28753
	Gm28753
	Gm21191
	Gm21271
	Gm28475
	Gm28475
	Gm28476
	Gm21281
	Gm21380
	Gm28193
	Gm21782
	Gm28751
	Gm28752
	Gm28726
