ENSMUSP00000000312ENSMUSP00000032322
ENSMUSP00000000312ENSMUSP00000044004
ENSMUSP00000000312ENSMUSP00000123924
ENSMUSP00000000312ENSMUSP00000000299
ENSMUSP00000001547ENSMUSP00000028499
ENSMUSP00000001547ENSMUSP00000053891
ENSMUSP00000001547ENSMUSP00000077132
ENSMUSP00000001547ENSMUSP00000139881
ENSMUSP00000001547ENSMUSP00000129624
ENSMUSP00000001792ENSMUSP00000020329
ENSMUSP00000001792ENSMUSP00000032322
ENSMUSP00000001792ENSMUSP00000001327
ENSMUSP00000001792ENSMUSP00000044004
ENSMUSP00000001792ENSMUSP00000029623
ENSMUSP00000001792ENSMUSP00000028499
ENSMUSP00000001792ENSMUSP00000068468
ENSMUSP00000001792ENSMUSP00000053897
ENSMUSP00000001792ENSMUSP00000101913
ENSMUSP00000001792ENSMUSP00000087457
ENSMUSP00000001792ENSMUSP00000005218
ENSMUSP00000001792ENSMUSP00000096876
ENSMUSP00000001792ENSMUSP00000126108
ENSMUSP00000001792ENSMUSP00000029948
ENSMUSP00000001792ENSMUSP00000067305
ENSMUSP00000001792ENSMUSP00000062333
ENSMUSP00000001792ENSMUSP00000084701
ENSMUSP00000001792ENSMUSP00000035900
ENSMUSP00000001792ENSMUSP00000007757
ENSMUSP00000001792ENSMUSP00000079752
ENSMUSP00000001792ENSMUSP00000047199
ENSMUSP00000001792ENSMUSP00000007799
ENSMUSP00000001792ENSMUSP00000032201
ENSMUSP00000001792ENSMUSP00000028288
ENSMUSP00000001792ENSMUSP00000088453
ENSMUSP00000001792ENSMUSP00000026917
ENSMUSP00000001792ENSMUSP00000109794
ENSMUSP00000001792ENSMUSP00000110593
ENSMUSP00000001792ENSMUSP00000102343
ENSMUSP00000001792ENSMUSP00000078741
ENSMUSP00000001792ENSMUSP00000127329
ENSMUSP00000001792ENSMUSP00000027871
ENSMUSP00000001792ENSMUSP00000069416
ENSMUSP00000001792ENSMUSP00000110748
ENSMUSP00000001792ENSMUSP00000099718
ENSMUSP00000001792ENSMUSP00000051731
ENSMUSP00000001792ENSMUSP00000099375
ENSMUSP00000001792ENSMUSP00000044227
ENSMUSP00000001792ENSMUSP00000080716
ENSMUSP00000001792ENSMUSP00000114123
ENSMUSP00000001792ENSMUSP00000131840
ENSMUSP00000001792ENSMUSP00000062924
ENSMUSP00000001792ENSMUSP00000081625
ENSMUSP00000001792ENSMUSP00000134402
ENSMUSP00000001792ENSMUSP00000129678
ENSMUSP00000001792ENSMUSP00000123924
ENSMUSP00000001792ENSMUSP00000093653
ENSMUSP00000001792ENSMUSP00000101428
ENSMUSP00000001792ENSMUSP00000118362
ENSMUSP00000001792ENSMUSP00000000109
ENSMUSP00000001792ENSMUSP00000000299
ENSMUSP00000001792ENSMUSP00000017153
ENSMUSP00000001792ENSMUSP00000021028
ENSMUSP00000001792ENSMUSP00000024916
ENSMUSP00000001792ENSMUSP00000026119
ENSMUSP00000001792ENSMUSP00000033450
ENSMUSP00000001792ENSMUSP00000034510
ENSMUSP00000001792ENSMUSP00000099398
ENSMUSP00000002979ENSMUSP00000020329
ENSMUSP00000002979ENSMUSP00000032322
ENSMUSP00000002979ENSMUSP00000001327
ENSMUSP00000002979ENSMUSP00000044004
ENSMUSP00000002979ENSMUSP00000029623
ENSMUSP00000002979ENSMUSP00000028499
ENSMUSP00000002979ENSMUSP00000005218
ENSMUSP00000002979ENSMUSP00000096876
ENSMUSP00000002979ENSMUSP00000079752
ENSMUSP00000002979ENSMUSP00000028288
ENSMUSP00000002979ENSMUSP00000085016
ENSMUSP00000002979ENSMUSP00000099853
ENSMUSP00000002979ENSMUSP00000096712
ENSMUSP00000002979ENSMUSP00000131832
ENSMUSP00000002979ENSMUSP00000102343
ENSMUSP00000002979ENSMUSP00000078741
ENSMUSP00000002979ENSMUSP00000127329
ENSMUSP00000002979ENSMUSP00000015612
ENSMUSP00000002979ENSMUSP00000102068
ENSMUSP00000002979ENSMUSP00000045770
ENSMUSP00000002979ENSMUSP00000023128
ENSMUSP00000002979ENSMUSP00000101094
ENSMUSP00000002979ENSMUSP00000099375
ENSMUSP00000002979ENSMUSP00000044227
ENSMUSP00000002979ENSMUSP00000053891
ENSMUSP00000002979ENSMUSP00000077132
ENSMUSP00000002979ENSMUSP00000139881
ENSMUSP00000002979ENSMUSP00000131840
ENSMUSP00000002979ENSMUSP00000062171
ENSMUSP00000002979ENSMUSP00000123924
ENSMUSP00000002979ENSMUSP00000129624
ENSMUSP00000002979ENSMUSP00000000299
ENSMUSP00000002979ENSMUSP00000001548
ENSMUSP00000002979ENSMUSP00000003469
ENSMUSP00000002979ENSMUSP00000017153
ENSMUSP00000002979ENSMUSP00000021028
ENSMUSP00000002979ENSMUSP00000028348
ENSMUSP00000003659ENSMUSP00000087457
ENSMUSP00000003912ENSMUSP00000020329
ENSMUSP00000003912ENSMUSP00000021750
ENSMUSP00000005406ENSMUSP00000020329
ENSMUSP00000005406ENSMUSP00000045770
ENSMUSP00000005406ENSMUSP00000034713
ENSMUSP00000005406ENSMUSP00000123924
ENSMUSP00000005406ENSMUSP00000000299
ENSMUSP00000014578ENSMUSP00000087457
ENSMUSP00000014917ENSMUSP00000028499
ENSMUSP00000014917ENSMUSP00000087457
ENSMUSP00000014917ENSMUSP00000096876
ENSMUSP00000015791ENSMUSP00000028499
ENSMUSP00000015791ENSMUSP00000087457
ENSMUSP00000015791ENSMUSP00000096876
ENSMUSP00000015791ENSMUSP00000101094
ENSMUSP00000015791ENSMUSP00000099375
ENSMUSP00000015791ENSMUSP00000053891
ENSMUSP00000015791ENSMUSP00000077132
ENSMUSP00000015791ENSMUSP00000139881
ENSMUSP00000015791ENSMUSP00000064048
ENSMUSP00000016664ENSMUSP00000032322
ENSMUSP00000016664ENSMUSP00000000299
ENSMUSP00000019616ENSMUSP00000028499
ENSMUSP00000019616ENSMUSP00000087457
ENSMUSP00000019616ENSMUSP00000096876
ENSMUSP00000019791ENSMUSP00000020329
ENSMUSP00000019791ENSMUSP00000032322
ENSMUSP00000019791ENSMUSP00000044004
ENSMUSP00000019791ENSMUSP00000079752
ENSMUSP00000019791ENSMUSP00000045770
ENSMUSP00000019791ENSMUSP00000123924
ENSMUSP00000019791ENSMUSP00000000299
ENSMUSP00000019992ENSMUSP00000020329
ENSMUSP00000019992ENSMUSP00000032322
ENSMUSP00000019992ENSMUSP00000001327
ENSMUSP00000019992ENSMUSP00000044004
ENSMUSP00000019992ENSMUSP00000029623
ENSMUSP00000019992ENSMUSP00000028499
ENSMUSP00000019992ENSMUSP00000068468
ENSMUSP00000019992ENSMUSP00000101913
ENSMUSP00000019992ENSMUSP00000005218
ENSMUSP00000019992ENSMUSP00000079752
ENSMUSP00000019992ENSMUSP00000028288
