0,1
Egf,Itgb1
Egf,Cd93
Egf,Notch1
Egf,Notch2
Egf,Itga2b
Egf,Itgb2
Egf,Itgb3
Adam15,Cd93
Sema4a,Egfr
Sema4a,Lrp6
Sema4a,Acvr2a
Sema4a,Itgb2
Tln1,Egfr
Tln1,Lrp6
Tln1,Itgb7
Tln1,Lrp1
Tln1,Tlr2
Tln1,Itgav
Tln1,Cd44
Tln1,Lrp2
Tln1,Cd36
Tln1,Tlr4
Tln1,Itga5
Tln1,Ldlr
Tln1,Scarb1
Tln1,Selp
Tln1,Itga3
Tln1,Itgb3
Tln1,Itgb6
Col9a2,Itgav
Col9a2,Itgb1
Col9a2,Cd44
Col9a2,Cd93
Col9a2,Itga2
Col9a2,Itga1
Col9a2,Ddr2
Sema3c,Egfr
Sema3c,Lrp6
Sema3c,Lrp1
Sema3c,Itgb2
Col1a2,Itgav
Col1a2,Itga2b
Col1a2,Itga1
Col1a2,Mag
Col1a2,Ddr2
Bmp10,Ryr2
F9,Ryr2
F8,Scarb1
F8,Selp
Col4a1,Itga2
Col4a1,Itga1
Col4a1,Mag
Col4a1,Ddr2
Col4a2,Itgav
Col4a2,Cd44
Col4a2,Itga2b
Col4a2,Itga2
Col4a2,Itga1
Col4a2,Mag
Col4a2,Ddr2
Lipc,Ryr2
Ntng2,Itgb1
Ntng2,Itgb2
Apob,Egfr
Apob,Tlr2
Apob,Itga5
Apob,Selp
Apob,Dchs1
Apob,Itgb3
Apob,Itgb6
Amh,Acvr2a
Lama1,Egfr
Lama1,Lrp1
Lama1,Itgav
Lama1,Cd44
Lama1,Cd93
Lama1,Lrp2
Lama1,Itga6
Lama1,Notch1
Lama1,Itga5
Lama1,Col13a1
Lama1,Itga2b
Lama1,Mag
Lama1,Robo2
Lama1,Plxna1
Lama1,Flrt2
Lama1,Selp
Lama1,Ddr2
Lama1,Itgb2
Lama1,Itga3
Lama1,Cd79a
Lama1,Itgb3
Lama1,Robo1
Lama1,Itgb6
Lama1,Gp9
Lama1,Stab2
Lama1,Gp1ba
Lama1,Gp1bb
Thbs1,Lrp6
Thbs1,Cd44
Thbs1,Cd93
Thbs1,Notch1
Thbs1,Notch3
Thbs1,Notch2
Thbs1,Itga2b
Thbs1,Selp
Grn,Itgav
Grn,Itgb1
Grn,Cd93
Col9a1,Itgav
Col9a1,Itgb1
Col9a1,Cd44
Col9a1,Cd93
Col9a1,Notch4
Col9a1,Itgb5
Col9a1,Itga2b
Col9a1,Itga2
Col9a1,Itga1
Col9a1,Ddr2
Nlgn2,Itgb1
Fn1,Egfr
Fn1,Lrp1
Fn1,Tlr2
Fn1,Itgav
Fn1,Cd93
Fn1,Lrp2
Fn1,Notch1
Fn1,Cd36
Fn1,Tlr4
Fn1,Ldlr
Fn1,Scarb1
Fn1,Selp
Fn1,Itgb3
Fn1,Itgb6
Fbln1,Itgav
Pcsk9,Itgb2
Dscam,Egfr
Dscam,Lrp6
Dscam,Itgb7
Dscam,Lrp1
Dscam,Tlr2
Dscam,Cd44
Dscam,Lrp2
Dscam,Cd36
Dscam,Vldlr
Dscam,Tlr4
Dscam,Itga5
Dscam,C5ar2
Dscam,Ldlr
Dscam,Scarb1
Dscam,Selp
Dscam,Itgb2
Dscam,Itgb3
Dscam,Itgb6
Gnai2,Ryr2
Fat4,Lrp1
Fat4,Itgav
Fat4,Itgb1
Fat4,Cd44
Fat4,Cd93
Fat4,Itga7
Fat4,Cd36
Fat4,Itgb4
Fat4,Itga5
Fat4,Col13a1
Fat4,Itga2b
Fat4,Itga2
Fat4,Apobr
Fat4,Mttp
Fat4,Lsr
Fat4,Itga3
Fat4,Itgb3
Adam10,Egfr
Adam10,Lrp6
Adam10,Itgb1
Adam10,Selp
Adam10,Itgb2
Adam12,Itgav
Adam12,Cd93
Adam12,Notch1
Adam12,Notch2
Adam12,Itgb2
Nlgn3,Lrp6
Nlgn3,Itgb2
Slit3,Egfr
Slit3,Lrp6
Slit3,Lrp1
Slit3,Itgav
Slit3,Itgal
Slit3,Itgb1
Slit3,Cd44
Slit3,Cd93
Slit3,Lrp2
Slit3,Notch1
Slit3,Notch3
Slit3,Nrp1
Slit3,Notch2
Slit3,Vldlr
Slit3,Tlr4
Slit3,Itga5
Slit3,Itga2b
Slit3,Selp
Slit3,Itgb2
Slit3,Itga3
Slit3,Itgb3
Slit3,Itgb6
Adam17,Egfr
Adam17,Lrp6
Adam17,Lrp1
Adam17,Tlr4
Adam17,Selp
Adam17,Itgb2
Dmp1,Egfr
Sema5a,Lrp6
Sema5a,Itgav
Sema5a,Itgb1
Tg,Egfr
Tg,Itgb7
Tg,Lrp1
Tg,Itgav
Tg,Itgal
Tg,Itgb1
Tg,Cd44
Tg,Cd93
Tg,Itga6
Tg,Notch1
Tg,Notch3
Tg,Itga7
Tg,Cd36
Tg,Nrp1
Tg,Lrp8
Tg,Vldlr
Tg,Itgb4
Tg,Itga5
Tg,Col13a1
Tg,Itga2b
Tg,Itga9
Tg,Itga2
Tg,Itga1
Tg,Mag
Tg,Robo2
Tg,Plxna1
Tg,Flrt2
Tg,Selp
Tg,Ddr2
Tg,Itgb2
Tg,Itga3
Tg,Cd79a
Tg,Itgb3
Tg,Robo1
Tg,Itgb6
Tg,Stab2
Tg,Gp1ba
Postn,Lrp1
Sema3e,Egfr
Sema3e,Lrp6
Sema3e,Lrp1
Sema3e,Selp
Sema3e,Itgb2
Jag2,Itgav
Jag2,Itgb1
Jag2,Cd44
Jag2,Cd93
Jag2,Itga2b
Jag2,Itga2
Jag2,Itga1
Jag2,Mag
Jag2,Ddr2
Sftpd,Itgb1
Sftpd,Cd93
Gnas,Itgav
Gnas,Itgb1
Gnas,Cd44
Gnas,Cd93
Gnas,Itgb5
Gnas,Mag
Gnas,Ddr2
Sema3f,Itgb1
Adam9,Cd93
Hmgb1,Lrp1
Hmgb1,Ryr2
Col4a4,Itga2
Col4a4,Itga1
Col4a4,Mag
Col4a4,Ddr2
Col3a1,Itgav
Col3a1,Cd44
Col3a1,Cd93
Col3a1,Itga2b
Col3a1,Itga2
Col3a1,Itga1
Sema3g,Itgb1
Lama3,Egfr
Lama3,Itgav
Lama3,Itgb1
Lama3,Cd44
Lama3,Cd93
Lama3,Notch1
Lama3,Itga7
Lama3,Itga5
Lama3,Col13a1
Lama3,Itga2b
Lama3,Itga2
Lama3,Itga1
Lama3,Mag
Lama3,Robo2
Lama3,Plxna1
Lama3,Dchs1
Lama3,Ddr2
Lama3,Itgb2
Lama3,Itga3
Lama3,Bcam
