0,1
SEMA3F,ITGB1
SEMA3F,ITGB3
NTN1,ITGB1
SEMA4G,ITGB1
SEMA4G,ITGB3
NID2,LRP2
NID2,ITGB1
NID2,ITGB3
NID2,ITGAV
NID2,ITGA1
NID2,ITGA2
MMP2,ITGB1
TG,ITGB1
TG,ITGA2
LAMB1,LRP2
LAMB1,LRP1
LAMB1,ITGB3
C5,ITGA4
C5,LRP2
C5,ITGB1
C5,LRP1
C5,ITGB3
C5,LDLR
C5,TLR2
C5,VLDLR
C5,CALCR
C5,TLR4
C5,DSG2
C5,TLR1
C5,DSG1
C5,ASGR2
COL1A1,ITGB5
COL1A1,ITGB3
COL1A1,ITGB8
COL1A1,CD47
COL1A1,ITGA2B
COL1A1,SDC3
COL1A1,BCAM
COL1A1,GPC4
COL1A1,ADGRB2
COL1A1,ADGRL2
COL1A1,MAG
COL1A1,ITGA3
COL1A1,ITGB4
COL1A1,TNFRSF10A
COL1A1,ITGA10
COL1A1,SLC4A11
LAMA4,LRP2
LAMA4,LRP1
LAMA4,ITGB3
LAMA4,ITGA2
SEMA3G,ITGB1
HRG,ITGB1
APOB,EGFR
APOB,ITGA4
APOB,CD44
APOB,ITGB7
APOB,SDC2
APOB,C5AR2
APOB,C5AR1
APOB,ITGA8
APOB,TNFRSF11B
APOB,SELL
APOB,SELP
APOB,CD46
APOB,C3AR1
APOB,TLR1
APOB,RPSA
APOB,PTPRD
APOB,NT5E
APOB,ITGA9
APOB,DCHS1
APOB,ROBO4
C3,LRP2
C3,ITGB1
C3,ITGB3
C3,TLR2
C3,TLR4
C3,TLR1
NCAN,CD44
NCAN,LRP2
NCAN,ITGB1
NCAN,ITGB3
NCAN,ITGAV
NCAN,ITGA1
NCAN,ITGA2
NCAN,CD93
LAMA5,ITGB3
LAMA5,ITGA5
JAG1,ITGB1
JAG1,ITGB3
DSC1,ITGB1
DSC1,LRP1
SEMA6A,LRP2
SEMA6A,ITGB1
SEMA6A,LRP1
SEMA6A,ITGB3
SEMA6A,ITGAV
LAMC1,LRP2
LAMC1,LRP1
LAMC1,ITGB3
TGS1,ITGB1
THBS1,LRP2
THBS1,ITGAV
THBS1,ITGA2
ADAM10,LRP2
ADAM10,ITGB1
ADAM10,ITGB3
ADAM10,ITGAV
ADAM10,ITGA2
COL8A1,ITGB5
COL8A1,CD44
COL8A1,ITGB1
COL8A1,ITGB3
COL8A1,ITGAV
COL8A1,ITGB8
COL8A1,CD36
COL8A1,ITGA5
COL8A1,CD93
COL8A1,FLT4
COL8A1,DDR2
COL8A1,ITGA11
COL8A1,DDR1
COL8A1,CD47
COL8A1,ITGA2B
COL8A1,SDC3
COL8A1,GPC4
COL8A1,ADGRB2
COL8A1,ADGRL2
COL8A1,ADGRL1
COL8A1,MAG
COL8A1,ITGA3
COL8A1,TNFRSF10A
COL8A1,ITGA10
COL8A1,SLC4A11
VWF,EGFR
VWF,ITGA4
VWF,LRP2
VWF,ITGB1
VWF,SDC2
VWF,ITGB6
VWF,ITGA5
VWF,ITGA8
VWF,SDC4
VWF,CD46
VWF,ROBO1
VWF,ITGA9
VWF,ROBO4
CDH1,LRP2
CDH1,ITGB1
CDH1,LRP1
CDH1,ITGB3
CDH1,ITGAV
RIMS2,LRP2
RIMS2,ITGB1
RIMS2,ITGB3
RIMS2,ITGAV
RIMS2,ITGA2
CNTN3,CD44
CNTN3,LRP2
CNTN3,ITGB1
CNTN3,LRP1
CNTN3,ITGB3
CNTN3,ITGAV
CNTN3,ITGA2
FARP2,LRP2
FARP2,ITGB1
FARP2,ITGB3
LAMC2,ITGB3
LAMC2,ITGAV
NID1,LRP2
NID1,ITGA2
F13A1,LRP2
F13A1,LRP1
F13A1,ITGB3
F13A1,ITGAV
VCAN,LRP2
VCAN,LRP1
VCAN,ITGAM
VCAN,VLDLR
VCAN,OLR1
VCAN,MTTP
VCAN,LSR
VCAN,TLR6
VCAN,LRP8
TNC,LRP2
TNC,LRP1
TNC,ITGA1
EGF,ITGB1
EGF,LRP1
EGF,ITGB3
EGF,ITGAV
EGF,ITGA2
SEMA3C,ITGB1
SEMA3A,LRP2
SEMA3A,ITGB1
SEMA3A,ITGB3
ADAM28,ITGB1
SLIT1,ITGB1
CGN,ITGB1
MEGF10,NOTCH1
MEGF10,NOTCH4
MEGF10,NOTCH2
MEGF10,NOTCH3
MEGF10,ITGB1
MEGF10,ITGB3
MEGF10,ITGAV
MEGF10,ITGA2
MEGF10,CD93
SEMA3D,EGFR
SEMA3D,LRP2
SEMA3D,ITGB1
APP,EGFR
APP,ITGB1
ADAMTS3,LRP2
ADAMTS3,ITGB1
ADAMTS3,LRP1
