"","ligand","receptor"
"895","GNAI2","CXCR2"
"896","GNAI2","DRD2"
"897","GNAI2","EDNRA"
"898","GNAI2","EGFR"
"899","GNAI2","F2R"
"900","GNAI2","FPR1"
"901","GNAI2","IGF1R"
"902","GNAI2","LHCGR"
"903","GNAI2","LPAR3"
"904","GNAI2","MTNR1A"
"905","GNAI2","MTNR1B"
"906","GNAI2","OPRD1"
"907","GNAI2","OPRM1"
"908","GNAI2","P2RY12"
"909","GNAI2","PTPRU"
"910","GNAI2","TBXA2R"
"911","GNAI2","TSHR"
"912","GNAS","ADORA1"
"913","GNAS","ADRB3"
"914","GNAS","AVPR2"
"915","GNAS","CRHR1"
"916","GNAS","GCGR"
"917","GNAS","HTR6"
"918","GNAS","LHCGR"
"919","GNAS","PTGDR"
"920","GNAS","PTGIR"
"921","GNAS","TSHR"
"922","GNAS","VIPR1"
"923","GNB3","TGFBR1"
"924","GNRH1","GNRHR"
"925","GNRH2","GNRHR"
"926","GPC3","CD81"
"927","GPC3","IGF1R"
"928","GPHA2","TSHR"
"929","GPI","AMFR"
"930","GRP","BRS3"
"931","GRP","GRPR"
"932","GRP","NMBR"
"933","GSTP1","TRAF2"
"934","GUCA2A","GUCY2C"
"935","GUCA2B","GUCY2C"
"936","GUCA2B","GUCY2D"
"937","GZMB","CHRM3"
"938","GZMB","IGF2R"
"939","HAS2","CD44"
"940","HAS2","HMMR"
"941","HBEGF","CD44"
"942","HBEGF","CD82"
"943","HBEGF","CD9"
"944","HBEGF","EGFR"
"945","HBEGF","ERBB2"
"946","HBEGF","ERBB4"
"947","HCRT","HCRTR1"
"948","HCRT","HCRTR2"
"949","HCRT","NPFFR2"
"950","HEBP1","FPR3"
"951","HGF","CD44"
"952","HGF","MET"
"953","HGF","SDC1"
"954","HGF","SDC2"
"955","HGF","ST14"
"956","HLA-A","APLP2"
"957","HLA-A","ERBB2"
"958","HLA-A","KIR3DL1"
"959","HLA-A","KIR3DL2"
"960","HLA-A","LILRB1"
"961","HLA-A","LILRB2"
"962","HLA-B","CANX"
"963","HLA-B","KIR3DL1"
"964","HLA-B","KLRD1"
"965","HLA-B","LILRB1"
"966","HLA-B","LILRB2"
"967","HLA-C","KIR2DL1"
"968","HLA-C","KIR2DL3"
"969","HLA-C","KIR2DS4"
"970","HLA-C","LILRA3"
"971","HLA-C","LILRB1"
"972","HLA-C","LILRB2"
"973","HLA-E","KLRC1"
"974","HLA-E","KLRC2"
"975","HLA-E","KLRD1"
"976","HLA-G","KIR2DL4"
"977","HLA-G","KLRC1"
"978","HLA-G","KLRD1"
"979","HLA-G","LILRB1"
"980","HLA-G","LILRB2"
"981","HMGB1","SDC1"
"982","HMGB1","THBD"
"983","HP","ITGAM"
"984","HP","ITGB2"
"985","HRAS","AGTR1"
"986","HRAS","CAV1"
"987","HRAS","GRIN2D"
"988","HRAS","INSR"
"989","HRAS","TLR2"
"990","HRAS","TLR9"
"991","HRG","FCGR1A"
"992","HSP90AA1","CFTR"
"993","HSP90AA1","EGFR"
"994","HSP90AA1","FGFR3"
"995","HSPG2","COL13A1"
"996","HSPG2","ITGA2"
"997","HSPG2","ITGB1"
"998","HSPG2","PTPRS"
"999","IAPP","CALCR"
"1000","IAPP","RAMP1"
"1001","IAPP","RAMP2"
"1002","ICAM1","EGFR"
"1003","ICAM1","IL2RA"
"1004","ICAM1","IL2RG"
"1005","ICAM1","ITGAL"
"1006","ICAM1","ITGAM"
"1007","ICAM1","ITGAX"
"1008","ICAM1","ITGB2"
"1009","ICAM2","ITGAL"
"1010","ICAM2","ITGAM"
"1011","ICAM2","ITGB2"
"1012","ICAM3","CLEC4M"
"1013","ICAM3","ITGAD"
"1014","ICAM3","ITGAL"
"1015","ICAM3","ITGB2"
"1016","ICAM4","ITGA2B"
"1017","ICAM4","ITGA4"
"1018","ICAM4","ITGAL"
"1019","ICAM4","ITGAM"
"1020","ICAM4","ITGAV"
"1021","ICAM4","ITGB1"
"1022","ICAM4","ITGB2"
"1023","ICAM4","ITGB3"
"1024","ICAM4","RHAG"
"1025","ICAM5","ITGAL"
"1026","ICAM5","ITGB2"
"1027","IFNA10","IFNAR1"
"1028","IFNA10","IFNAR2"
"1029","IFNA13","IFNAR1"
"1030","IFNA13","IFNAR2"
"1031","IFNA14","IFNAR1"
"1032","IFNA14","IFNAR2"
"1033","IFNA16","IFNAR1"
"1034","IFNA16","IFNAR2"
"1035","IFNA17","IFNAR1"
"1036","IFNA17","IFNAR2"
"1037","IFNA1","IFNAR1"
"1038","IFNA1","IFNAR2"
"1039","IFNA21","IFNAR1"
"1040","IFNA21","IFNAR2"
"1041","IFNA2","IFNAR1"
"1042","IFNA2","IFNAR2"
"1043","IFNA4","IFNAR1"
"1044","IFNA4","IFNAR2"
"1045","IFNA5","IFNAR1"
"1046","IFNA5","IFNAR2"
"1047","IFNA6","IFNAR1"
"1048","IFNA6","IFNAR2"
"1049","IFNA7","IFNAR1"
"1050","IFNA7","IFNAR2"
"1051","IFNA8","IFNAR1"
"1052","IFNA8","IFNAR2"
"1053","IFNB1","IFNAR1"
"1054","IFNB1","IFNAR2"
"1055","IFNG","IFNGR1"
"1056","IFNG","IFNGR2"
"1057","IFNL1","IFNLR1"
"1058","IFNL1","IL10RB"
"1059","IFNL2","IFNLR1"
"1060","IFNL2","IL10RB"
"1061","IFNL3","IFNLR1"
"1062","IFNL3","IL10RB"
"1063","IFNW1","IFNAR1"
"1064","IFNW1","IFNAR2"
"1065","IGF1","IGF1R"
"1066","IGF2","IGF1R"
"1067","IGF2","IGF2R"
"1068","IGF2","INSR"
"1069","IGFBP4","FZD8"
"1070","IGFBP4","LRP6"
"1071","IGFL1","IGFLR1"
"1072","IGFL2","IGFLR1"
"1073","IGFL3","IGFLR1"
"1074","IHH","BOC"
"1075","IHH","CDON"
"1076","IHH","HHIP"
"1077","IHH","PTCH1"
"1078","IHH","PTCH2"
"1079","IL10","IL10RA"
"1080","IL10","IL10RB"
"1081","IL11","IL11RA"
"1082","IL11","IL6ST"
"1083","IL12A","CD28"
"1084","IL12A","IL12RB1"
"1085","IL12A","IL12RB2"
"1086","IL12B","IL12RB1"
"1087","IL12B","IL12RB2"
"1088","IL12B","IL23R"
"1089","IL13","IL13RA1"
"1090","IL13","IL13RA2"
"1091","IL13","IL2RG"
"1092","IL13","IL4R"
"1093","IL15","IL15RA"
"1094","IL15","IL2RA"
"1095","IL15","IL2RB"
"1096","IL15","IL2RG"
"1097","IL16","CD4"
"1098","IL16","GRIN2C"
"1099","IL16","GRIN2D"
"1100","IL16","KCNA3"
"1101","IL16","KCND1"
"1102","IL16","KCND2"
"1103","IL16","KCNJ10"
"1104","IL16","KCNJ15"
"1105","IL16","KCNJ4"
"1106","IL17A","IL17RA"
"1107","IL17A","IL17RC"
"1108","IL17B","IL17RB"
"1109","IL17F","IL17RA"
"1110","IL18","IL18R1"
"1111","IL18","IL18RAP"
"1112","IL18","IL1RAPL1"
"1113","IL18","IL1RL2"
"1114","IL19","IL20RA"
"1115","IL19","IL20RB"
"1116","IL1A","IL1R1"
"1117","IL1A","IL1R2"
"1118","IL1A","IL1RAP"
"1119","IL1B","ADRB2"
"1120","IL1B","IL1R1"
"1121","IL1B","IL1R2"
"1122","IL1B","IL1RAP"
"1123","IL1F10","IL1R1"
"1124","IL1RN","IL1R1"
"1125","IL1RN","IL1R2"
"1126","IL20","IL20RA"
"1127","IL20","IL20RB"
"1128","IL20","IL22RA1"
"1129","IL21","IL21R"
"1130","IL21","IL2RG"
"1131","IL22","IL10RA"
"1132","IL22","IL10RB"
"1133","IL22","IL22RA1"
"1134","IL22","IL22RA2"
"1135","IL23A","IL12RB1"
"1136","IL23A","IL23R"
"1137","IL24","IL20RA"
"1138","IL24","IL20RB"
"1139","IL24","IL22RA1"
"1140","IL25","IL17RB"
"1141","IL27","IL27RA"
"1142","IL2","CD53"
"1143","IL2","IL2RA"
"1144","IL2","IL2RB"
"1145","IL2","IL2RG"
"1146","IL2","NGFR"
"1147","IL31","IL31RA"
"1148","IL31","OSMR"
"1149","IL33","IL1RL1"
"1150","IL34","CSF1R"
"1151","IL3","CSF2RB"
"1152","IL3","IL3RA"
"1153","IL4","CD53"
"1154","IL4","IL13RA1"
"1155","IL4","IL13RA2"
"1156","IL4","IL2RG"
"1157","IL4","IL4R"
"1158","IL5","CSF2RB"
"1159","IL5","IL5RA"
"1160","IL6","IL6R"
"1161","IL6","IL6ST"
"1162","IL7","IL2RG"
"1163","IL7","IL7R"
"1164","IL8","CXCR1"
"1165","IL8","CXCR2"
"1166","IL8","DARC"
"1167","IL8","SDC1"
"1168","IL8","SDC2"
"1169","IL9","IL2RG"
"1170","IL9","IL9R"
"1171","INHA","ACVR2A"
"1172","INHA","TGFBR3"
"1173","INHBA","ACVR1"
"1174","INHBA","ACVR1B"
"1175","INHBA","ACVR2A"
"1176","INHBA","ACVR2B"
"1177","INHBA","BAMBI"
"1178","INHBA","ENG"
"1179","INHBA","TGFBR3"
"1180","INHBB","ACVR1"
"1181","INHBB","ACVR1B"
"1182","INHBB","ACVR1C"
"1183","INHBB","ACVR2A"
"1184","INHBB","ACVR2B"
"1185","INHBC","ACVR1"
"1186","INHBC","ACVR1B"
"1187","INHBC","ACVR2A"
"1188","INHBC","ACVR2B"
"1189","INSL3","RXFP2"
"1190","INSL5","RXFP3"
"1191","INSL5","RXFP4"
"1192","INS","IGF1R"
"1193","INS","INSR"
"1194","INS","LRP2"
"1195","ITGB3BP","ITGB3"
"1196","ITGB3BP","ITGB5"
"1197","ITIH2","FCER1A"
"1198","JAG1","NOTCH1"
"1199","JAG1","NOTCH2"
"1200","JAG1","NOTCH3"
"1201","JAG1","NOTCH4"
"1202","JAG2","NOTCH1"
"1203","JAG2","NOTCH2"
"1204","JAG2","NOTCH3"
"1205","KAL1","FGFR1"
"1206","KAL1","SDC2"
"1207","KISS1","KISS1R"
"1208","KISS1","MMP24"
"1209","KITLG","EPOR"
"1210","KITLG","KIT"
"1211","KLK3","EPOR"
"1212","KNG1","BDKRB1"
"1213","KNG1","BDKRB2"
"1214","KNG1","CD93"
"1215","KNG1","GP1BA"
"1216","KNG1","GPR135"
"1217","KNG1","ITGB2"
"1218","KNG1","PLAUR"
"1219","KNG1","RXFP4"
"1220","KRTAP4-12","AQP1"
"1221","KRTAP4-12","CATSPER1"
"1222","KRTAP4-12","CLDN2"
"1223","KRTAP4-12","CNTFR"
"1224","KRTAP4-12","LINGO1"
"1225","KRTAP4-12","PDGFRB"
"1226","KRTAP4-12","PLSCR4"
"1227","L1CAM","CNTN1"
"1228","L1CAM","EGFR"
"1229","L1CAM","ERBB2"
"1230","L1CAM","ERBB3"
"1231","L1CAM","ITGA5"
"1232","L1CAM","ITGAV"
"1233","LACRT","SDC1"
"1234","LAMA1","ITGA1"
"1235","LAMA1","ITGA2"
"1236","LAMA1","ITGA7"
"1237","LAMA1","ITGB1"
"1238","LAMA1","ITGB8"
"1239","LAMA1","NT5E"
"1240","LAMA1","RPSA"
"1241","LAMA1","TMPRSS6"
"1242","LAMA2","ITGA7"
"1243","LAMA2","ITGB1"
"1244","LAMA2","RPSA"
"1245","LAMA3","SDC2"
"1246","LAMA5","BCAM"
"1247","LAMB1","ITGA6"
"1248","LAMB1","ITGB1"
"1249","LAMB2","RPSA"
"1250","LAMC2","ITGA3"
"1251","LAMC2","ITGA6"
"1252","LAMC2","ITGB1"
"1253","LAMC2","ITGB4"
"1254","LCN1","LMBR1L"
"1255","LCN2","LRP2"
"1256","LEFTY2","ACVR2B"
"1257","LEP","LEPR"
"1258","LGALS3BP","ITGB1"
"1259","LHB","LHCGR"
"1260","LIF","IL6ST"
"1261","LIF","LIFR"
"1262","LIN7C","ABCA1"
"1263","LIN7C","HTR2C"
"1264","LIPC","LRP1"
"1265","LIPH","LPAR1"
"1266","LIPH","LPAR2"
"1267","LIPH","LPAR4"
"1268","LPA","LRP2"
"1269","LPL","GPIHBP1"
"1270","LPL","LRP1"
"1271","LPL","LRP2"
"1272","LPL","SDC1"
"1273","LPL","VLDLR"
"1274","LRP1B","PLAUR"
"1275","LRPAP1","LDLR"
"1276","LRPAP1","LRP1"
"1277","LRPAP1","LRP2"
"1278","LRPAP1","LRP8"
"1279","LRPAP1","SORL1"
"1280","LRPAP1","SORT1"
"1281","LRPAP1","VLDLR"
"1282","LTA","LTBR"
"1283","LTA","TNFRSF14"
"1284","LTA","TNFRSF1B"
"1285","LTBP1","ITGB5"
"1286","LTBP3","ITGB5"
"1287","LTB","CD40"
"1288","LTB","LTBR"
"1289","LTB","TNFRSF1A"
"1290","LTF","LRP1"
"1291","LTF","LRP11"
"1292","LY86","CD180"
"1293","MADCAM1","CD44"
"1294","MADCAM1","ITGA4"
"1295","MADCAM1","ITGB7"
"1296","MATN1","ITGA1"
"1297","MATN1","ITGB1"
"1298","MBL2","CALCR"
"1299","MBL2","CD93"
"1300","MDK","ALK"
"1301","MDK","LRP1"
"1302","MDK","LRP2"
"1303","MDK","PTPRZ1"
"1304","MDK","SDC1"
"1305","MDK","SDC3"
"1306","MDK","SDC4"
"1307","MDK","TSPAN1"
"1308","MEPE","PHEX"
"1309","MFAP2","NOTCH1"
"1310","MFAP5","NOTCH1"
"1311","MFGE8","ITGAV"
"1312","MFGE8","ITGB3"
"1313","MFGE8","PDGFRB"
"1314","MFNG","NOTCH1"
"1315","MFNG","NOTCH2"
"1316","MIA","CDH7"
"1317","MLLT4","EPHA7"
"1318","MLLT4","EPHB2"
"1319","MLLT4","EPHB3"
"1320","MLLT4","EPHB6"
"1321","MLLT4","F11R"
"1322","MLLT4","NRXN2"
"1323","MLLT4","NRXN3"
"1324","MLLT4","PVRL1"
"1325","MLLT4","PVRL2"
"1326","MLLT4","PVRL3"
"1327","MLLT4","PVRL4"
"1328","MLN","MLNR"
"1329","MMP12","PLAUR"
"1330","MMP13","LRP1"
"1331","MMP1","CD44"
"1332","MMP1","ITGA2"
"1333","MMP2","SDC2"
"1334","MMP7","CD151"
"1335","MMP7","CD44"
"1336","MMP7","ERBB4"
"1337","MMP9","CD44"
"1338","MMP9","EPHB2"
"1339","MMP9","LRP1"
"1340","MST1","MST1R"
"1341","MSTN","ACVR2B"
"1342","MUC2","AGR2"
"1343","MUC7","SELL"
"1344","MYOC","FZD1"
"1345","MYOC","FZD10"
"1346","MYOC","FZD3"
"1347","MYOC","FZD4"
"1348","MYOC","FZD7"
"1349","NAMPT","INSR"
"1350","NCAM1","FGFR1"
"1351","NCAM1","GFRA1"
"1352","NCAM1","ROBO1"
"1353","NCAM1","ROBO3"
"1354","NDP","FZD4"
"1355","NDP","LGR4"
"1356","NGF","NGFR"
"1357","NGF","NTRK1"
"1358","NGF","SORCS3"
"1359","NGF","SORT1"
"1360","NID1","COL13A1"
"1361","NID1","ITGAV"
"1362","NID1","ITGB3"
"1363","NID1","PTPRF"
"1364","NID2","COL13A1"
"1365","NLGN1","NRXN1"
"1366","NLGN1","NRXN2"
"1367","NLGN1","NRXN3"
"1368","NLGN2","NRXN1"
"1369","NLGN2","NRXN2"
"1370","NLGN2","NRXN3"
"1371","NLGN3","NRXN1"
"1372","NLGN3","NRXN2"
"1373","NLGN3","NRXN3"
"1374","NMB","BRS3"
"1375","NMB","GRPR"
"1376","NMB","NMBR"
"1377","NMS","NMUR1"
"1378","NMS","NMUR2"
"1379","NMU","NMUR1"
"1380","NMU","NMUR2"
"1381","NODAL","ACVR1B"
"1382","NODAL","ACVR1C"
"1383","NODAL","ACVR2A"
"1384","NODAL","ACVR2B"
"1385","NOV","NOTCH1"
"1386","NPB","NPBWR1"
"1387","NPB","NPBWR2"
"1388","NPFF","NPFFR1"
"1389","NPFF","NPFFR2"
"1390","NPNT","ITGA8"
"1391","NPNT","ITGB1"
"1392","NPPA","NPR1"
"1393","NPPA","NPR3"
"1394","NPPB","NPR1"
"1395","NPPB","NPR2"
"1396","NPPB","NPR3"
"1397","NPPC","NPR2"
"1398","NPPC","NPR3"
"1399","NPS","NPSR1"
"1400","NPVF","NPFFR1"
"1401","NPVF","NPFFR2"
"1402","NPW","NPBWR1"
"1403","NPW","NPBWR2"
"1404","NPY","FAP"
"1405","NPY","MC4R"
"1406","NPY","NPFFR2"
"1407","NPY","NPY1R"
"1408","NPY","NPY2R"
"1409","NPY","NPY4R"
"1410","NPY","NPY5R"
"1411","NPY","PRLHR"
"1412","NRG1","ERBB2"
"1413","NRG1","ERBB3"
"1414","NRG1","ERBB4"
"1415","NRG2","ERBB3"
"1416","NRG2","ERBB4"
"1417","NRG3","ERBB4"
"1418","NRG4","ERBB4"
"1419","NRTN","GFRA1"
"1420","NRTN","GFRA2"
"1421","NRTN","RET"
"1422","NTF3","NGFR"
"1423","NTF3","NTRK1"
"1424","NTF3","NTRK2"
"1425","NTF3","NTRK3"
"1426","NTF4","NGFR"
"1427","NTF4","NGFRAP1"
"1428","NTF4","NTRK1"
"1429","NTF4","NTRK2"
"1430","NTN1","ADORA2B"
"1431","NTN1","DCC"
"1432","NTN1","NEO1"
"1433","NTN1","UNC5A"
"1434","NTN1","UNC5B"
"1435","NTN1","UNC5C"
"1436","NTN1","UNC5D"
"1437","NTN3","CDON"
"1438","NTN3","NEO1"
"1439","NTN4","DCC"
"1440","NTN4","UNC5A"
"1441","NTNG1","LRRC4C"
"1442","NTNG2","LRRC4"
"1443","NTS","NTSR1"
"1444","NTS","NTSR2"
"1445","NTS","SORT1"
"1446","NXPH1","NRXN1"
"1447","NXPH1","NRXN2"
"1448","NXPH1","NRXN3"
"1449","NXPH2","NRXN1"
"1450","NXPH3","NRXN1"
"1451","NXPH3","NRXN2"
"1452","NXPH3","NRXN3"
"1453","OBP2A","OR1G1"
"1454","OLFM2","ROBO2"
"1455","OMG","LINGO1"
"1456","OMG","RTN4R"
"1457","OMG","RTN4RL1"
"1458","OMG","TNFRSF1B"
"1459","ORM1","CCR5"
"1460","OSM","IL6ST"
"1461","OSM","LIFR"
"1462","OSM","OSMR"
"1463","OSTN","NPR3"
"1464","OXT","AVPR1A"
"1465","OXT","AVPR1B"
"1466","OXT","AVPR2"
"1467","OXT","OXTR"
"1468","PCSK9","VLDLR"
"1469","PDAP1","PDGFRB"
"1470","PDGFA","PDGFRA"
"1471","PDGFB","ART1"
"1472","PDGFB","LRP1"
"1473","PDGFB","PDGFRA"
"1474","PDGFB","PDGFRB"
"1475","PDGFC","FLT4"
"1476","PDGFC","KDR"
"1477","PDGFC","PDGFRA"
"1478","PDGFD","PDGFRB"
"1479","PDYN","OPRD1"
"1480","PDYN","OPRK1"
"1481","PDYN","OPRM1"
"1482","PENK","MRGPRX1"
"1483","PENK","OGFR"
"1484","PENK","OPRD1"
"1485","PENK","OPRM1"
"1486","PF4","CXCR3"
"1487","PF4","FGFR2"
"1488","PF4","LDLR"
"1489","PF4","PROCR"
"1490","PF4","SDC2"
"1491","PF4","THBD"
"1492","PGF","FLT1"
"1493","PGF","NRP1"
"1494","PGF","NRP2"
"1495","PIGF","FLT1"
"1496","PIP","CD4"
"1497","PLA2G10","PLA2R1"
"1498","PLAT","LRP1"
"1499","PLAU","IGF2R"
"1500","PLAU","LRP1"
"1501","PLAU","LRP2"
"1502","PLAU","PLAUR"
"1503","PLAU","ST14"
"1504","PLG","F2R"
"1505","PLG","F2RL1"
"1506","PLG","F3"
"1507","PLG","ITGA9"
"1508","PLG","ITGB1"
"1509","PLG","PLGRKT"
"1510","PLTP","ABCA1"
"1511","PMCH","MCHR1"
"1512","PMCH","MCHR2"
"1513","PNOC","OPRL1"
"1514","PODXL2","SELL"
"1515","PODXL","SELL"
"1516","POMC","MC1R"
"1517","POMC","MC2R"
"1518","POMC","MC3R"
"1519","POMC","MC4R"
"1520","POMC","MC5R"
"1521","POMC","OPRD1"
"1522","POMC","OPRK1"
"1523","POMC","OPRM1"
"1524","PON2","HTR2A"
"1525","PPBP","CXCR1"
"1526","PPBP","CXCR2"
"1527","PPY","NPY4R"
"1528","PPY","NPY5R"
"1529","PRLH","PRLHR"
"1530","PRL","PRLR"
"1531","PRND","RPSA"
"1532","PROC","PROCR"
"1533","PROC","THBD"
"1534","PROK1","PROKR1"
"1535","PROK1","PROKR2"
"1536","PROK2","PROKR1"
"1537","PROK2","PROKR2"
"1538","PROS1","AXL"
"1539","PROS1","TYRO3"
"1540","PRSS23","TMEM222"
"1541","PSAP","CD1B"
"1542","PSAP","CELSR1"
"1543","PSAP","GPR37"
"1544","PSAP","GPR37L1"
"1545","PSAP","LRP1"
"1546","PSEN1","NCSTN"
"1547","PSEN1","NOTCH1"
"1548","PSEN1","NOTCH2"
"1549","PSEN1","NOTCH3"
"1550","PSEN1","NOTCH4"
"1551","PSPN","GFRA1"
"1552","PSPN","GFRA4"
"1553","PSPN","RET"
"1554","PTDSS1","JMJD6"
"1555","PTDSS1","SCARB1"
"1556","PTGS2","CAV1"
"1557","PTGS2","PTGDR2"
"1558","PTH2","PTH1R"
"1559","PTH2","PTH2R"
"1560","PTHLH","PRLHR"
"1561","PTHLH","PTH1R"
"1562","PTHLH","PTH2R"
"1563","PTH","PTH1R"
"1564","PTH","PTH2R"
"1565","PTMA","VIPR1"
"1566","PTN","ALK"
"1567","PTN","CDH10"
"1568","PTN","PLXNB2"
"1569","PTN","PTPRB"
"1570","PTN","PTPRS"
"1571","PTN","PTPRZ1"
"1572","PTN","SDC1"
"1573","PTN","SDC3"
"1574","PYY","FAP"
"1575","PYY","NPY1R"
"1576","PYY","NPY2R"
"1577","PYY","NPY4R"
"1578","PYY","NPY5R"
"1579","QRFP","P2RY14"
"1580","QRFP","QRFPR"
"1581","RAET1E","KLRK1"
"1582","RARRES2","CCRL2"
"1583","RARRES2","CMKLR1"
"1584","RARRES2","GPR1"
"1585","RBP3","NOTCH1"
"1586","RBP4","STRA6"
"1587","RELN","ITGA3"
"1588","RELN","ITGB1"
"1589","RELN","LRP8"
"1590","RELN","VLDLR"
"1591","REN","ATP6AP2"
"1592","RGMA","NEO1"
"1593","RGMB","NEO1"
"1594","RIMS1","CACNA1C"
"1595","RIMS2","ABCA1"
"1596","RLN1","RXFP1"
"1597","RLN1","RXFP2"
"1598","RLN2","RXFP1"
"1599","RLN2","RXFP2"
"1600","RLN3","RXFP1"
"1601","RLN3","RXFP2"
"1602","RLN3","RXFP3"
"1603","RLN3","RXFP4"
"1604","RNASE2","TLR2"
"1605","RPH3A","NRXN1"
"1606","RPS19","C5AR1"
"1607","RSPO1","LGR4"
"1608","RSPO1","LGR5"
"1609","RSPO1","LGR6"
"1610","RSPO1","LRP6"
"1611","RSPO1","ZNRF3"
"1612","RSPO2","LGR4"
"1613","RSPO2","LGR5"
"1614","RSPO2","LGR6"
"1615","RSPO3","FZD8"
"1616","RSPO3","LGR4"
"1617","RSPO3","LGR5"
"1618","RSPO3","LGR6"
"1619","RSPO3","LRP6"
"1620","RSPO3","SDC4"
"1621","RSPO4","LGR4"
"1622","RSPO4","LGR5"
"1623","RSPO4","LGR6"
"1624","RTN4","CNTNAP1"
"1625","RTN4","LINGO1"
"1626","RTN4","RTN4R"
"1627","RTN4","TNFRSF19"
"1628","S100A8","TLR4"
"1629","S100A9","TLR4"
"1630","SAA1","FPR1"
"1631","SAA1","FPR2"
"1632","SCGB1A1","LMBR1L"
"1633","SCGB1A1","LRP2"
"1634","SCGB3A1","MARCO"
"1635","SCGB3A2","MARCO"
"1636","SCT","SCTR"
"1637","SCT","VIPR1"
"1638","SCT","VIPR2"
"1639","SELPLG","SELE"
"1640","SELPLG","SELL"
"1641","SELPLG","SELP"
"1642","SEMA3A","NRP1"
"1643","SEMA3A","NRP2"
"1644","SEMA3A","PLXNA1"
"1645","SEMA3A","PLXNA2"
"1646","SEMA3A","PLXNA4"
"1647","SEMA3B","NRP1"
"1648","SEMA3B","NRP2"
"1649","SEMA3C","NRP1"
"1650","SEMA3C","NRP2"
"1651","SEMA3C","PLXND1"
"1652","SEMA3D","NRP1"
"1653","SEMA3E","PLXND1"
"1654","SEMA3F","NRP1"
"1655","SEMA3F","NRP2"
"1656","SEMA3F","PLXNA3"
"1657","SEMA3G","NRP2"
"1658","SEMA4A","PLXND1"
"1659","SEMA4B","DCBLD2"
"1660","SEMA4C","PLXNB2"
"1661","SEMA4D","CD72"
"1662","SEMA4D","ERBB2"
"1663","SEMA4D","MET"
"1664","SEMA4D","PLXNB1"
"1665","SEMA4D","PLXNB2"
"1666","SEMA4F","NRP2"
"1667","SEMA4G","PLXNB2"
"1668","SEMA5A","MET"
"1669","SEMA5A","PLXNB3"
"1670","SEMA6A","PLXNA2"
"1671","SEMA6A","PLXNA4"
"1672","SEMA6D","KDR"
"1673","SEMA6D","PLXNA1"
"1674","SEMA6D","TREM2"
"1675","SEMA6D","TYROBP"
"1676","SEMA7A","ITGA1"
"1677","SEMA7A","ITGB1"
"1678","SEMA7A","PLXNC1"
"1679","SERPINA1","LRP1"
"1680","SERPINA7","SLC16A2"
"1681","SERPINC1","LRP1"
"1682","SERPINC1","SDC2"
"1683","SERPINE1","LRP1"
"1684","SERPINE1","LRP2"
"1685","SERPINE2","LRP1"
"1686","SERPING1","LRP1"
"1687","SERPING1","SELE"
"1688","SERPING1","SELP"
"1689","SFRP1","FZD2"
"1690","SFRP1","FZD6"
"1691","SFTPA1","TLR2"
"1692","SFTPA2","CD93"
"1693","SHANK1","ABCA1"
"1694","SHANK1","BAI2"
"1695","SHANK1","LPHN1"
"1696","SHANK1","LPHN2"
"1697","SHANK1","SSTR2"
"1698","SHBG","CD177"
"1699","SHBG","CLDN4"
"1700","SHBG","SLC37A1"
"1701","SHH","BOC"
"1702","SHH","CDON"
"1703","SHH","GPC5"
"1704","SHH","HHIP"
"1705","SHH","LRP2"
"1706","SHH","PTCH1"
"1707","SHH","PTCH2"
"1708","SHH","SMO"
"1709","SLIT1","GPC1"
"1710","SLIT1","ROBO1"
"1711","SLIT1","SDC1"
"1712","SLIT2","GPC1"
"1713","SLIT2","ROBO1"
"1714","SLIT2","ROBO2"
"1715","SLIT2","ROBO4"
"1716","SLIT2","SDC1"
"1717","SLIT3","ROBO2"
"1718","SORBS1","INSR"
"1719","SOST","LRP5"
"1720","SOST","LRP6"
"1721","SPINK1","EGFR"
"1722","SPINK1","NRSN1"
"1723","SPINT1","ST14"
"1724","SPP1","CD44"
"1725","SPP1","ITGA4"
"1726","SPP1","ITGA5"
"1727","SPP1","ITGA9"
"1728","SPP1","ITGAV"
"1729","SPP1","ITGB1"
"1730","SPP1","S1PR1"
"1731","SST","SSTR1"
"1732","SST","SSTR2"
"1733","SST","SSTR3"
"1734","SST","SSTR4"
"1735","SST","SSTR5"
"1736","SYTL3","NRXN1"
"1737","TAC1","TACR1"
"1738","TAC1","TACR2"
"1739","TAC1","TACR3"
"1740","TAC3","TACR1"
"1741","TAC3","TACR2"
"1742","TAC3","TACR3"
"1743","TAC4","TACR1"
"1744","TAC4","TACR2"
"1745","TAC4","TACR3"
"1746","TCTN1","TMEM67"
"1747","TDGF1","ACVR1B"
"1748","TDGF1","ACVR1C"
"1749","TDGF1","ACVR2A"
"1750","TFPI","LRP1"
"1751","TFPI","VLDLR"
"1752","TF","TFR2"
"1753","TF","TFRC"
"1754","TGFA","EGFR"
"1755","TGFA","ERBB2"
"1756","TGFA","ERBB4"
"1757","TGFB1","ACVRL1"
"1758","TGFB1","ENG"
"1759","TGFB1","ITGAV"
"1760","TGFB1","ITGB6"
"1761","TGFB1","ITGB8"
"1762","TGFB1","SDC2"
"1763","TGFB1","TGFBR1"
"1764","TGFB1","TGFBR2"
"1765","TGFB1","TGFBR3"
"1766","TGFB2","ENG"
"1767","TGFB2","TGFBR1"
"1768","TGFB2","TGFBR2"
"1769","TGFB2","TGFBR3"
"1770","TGFB3","ACVRL1"
