"","ligand","receptor"
"220","BMP6","ACVR2A"
"221","BMP6","BMPR1A"
"222","BMP6","BMPR1B"
"223","BMP6","BMPR2"
"224","BMP7","ACVR1"
"225","BMP7","ACVR2A"
"226","BMP7","ACVR2B"
"227","BMP7","BMPR1A"
"228","BMP7","BMPR1B"
"229","BMP7","BMPR2"
"230","BMP7","ENG"
"231","BST1","CAV1"
"232","BTC","EGFR"
"233","BTC","ERBB2"
"234","BTC","ERBB3"
"235","BTC","ERBB4"
"236","BTLA","CD79A"
"237","BTLA","VTCN1"
"238","C1QA","CD93"
"239","C1QA","CR1"
"240","C1QA","CSPG4"
"241","C1QB","LRP1"
"242","C1QTNF1","AVPR2"
"243","C1QTNF5","MFRP"
"244","C3","C3AR1"
"245","C3","C5AR2"
"246","C3","CD19"
"247","C3","CD46"
"248","C3","CR1"
"249","C3","ITGAM"
"250","C3","ITGAX"
"251","C3","ITGB2"
"252","C3","LRP1"
"253","C4A","C3AR1"
"254","C4A","C5AR2"
"255","C4A","CR1"
"256","C4BPA","BMPR2"
"257","C4BPA","CD40"
"258","C4BPA","LRP1"
"259","C4B","CD46"
"260","C4B","CR1"
"261","C5","C5AR1"
"262","C5","C5AR2"
"263","C5orf55","TRAF2"
"264","CALCA","CALCR"
"265","CALCA","CALCRL"
"266","CALCA","RAMP1"
"267","CALCA","RAMP2"
"268","CALCB","CALCR"
"269","CALCB","CALCRL"
"270","CALCB","RAMP1"
"271","CALR","ITGA2B"
"272","CALR","ITGA3"
"273","CALR","ITGAV"
"274","CALR","LRP1"
"275","CALR","MTNR1A"
"276","CALR","SCARF1"
"277","CALR","TSHR"
"278","CAMP","FPR2"
"279","CCK","CCKAR"
"280","CCK","CCKBR"
"281","CCL11","ACKR2"
"282","CCL11","ACKR4"
"283","CCL11","CCR2"
"284","CCL11","CCR3"
"285","CCL11","CCR5"
"286","CCL11","CXCR3"
"287","CCL13","ACKR2"
"288","CCL13","ACKR4"
"289","CCL13","CCR1"
"290","CCL13","CCR2"
"291","CCL13","CCR3"
"292","CCL13","CCR5"
"293","CCL13","CXCR3"
"294","CCL14","ACKR2"
"295","CCL14","CCR1"
"296","CCL14","CCR3"
"297","CCL14","CCR5"
"298","CCL15","CCR1"
"299","CCL15","CCR3"
"300","CCL16","CCR1"
"301","CCL16","CCR2"
"302","CCL16","CCR5"
"303","CCL16","CCR8"
"304","CCL16","HRH4"
"305","CCL17","CCR4"
"306","CCL17","CCR8"
"307","CCL17","DARC"
"308","CCL18","C14orf1"
"309","CCL19","ACKR2"
"310","CCL19","ACKR4"
"311","CCL19","CCR10"
"312","CCL19","CCR7"
"313","CCL19","CCRL2"
"314","CCL19","CXCR3"
"315","CCL1","CCR8"
"316","CCL20","CCR6"
"317","CCL20","CXCR3"
"318","CCL21","ACKR2"
"319","CCL21","ACKR4"
"320","CCL21","CCR7"
"321","CCL21","CXCR3"
"322","CCL22","CCR4"
"323","CCL23","CCR1"
"324","CCL24","CCR2"
"325","CCL24","CCR3"
"326","CCL25","ACKR2"
"327","CCL25","ACKR4"
"328","CCL25","CCR10"
"329","CCL25","CCR9"
"330","CCL26","CCR1"
"331","CCL26","CCR2"
"332","CCL26","CCR3"
"333","CCL27","ACKR2"
"334","CCL27","CCR10"
"335","CCL28","ACKR2"
"336","CCL28","CCR10"
"337","CCL28","CCR3"
"338","CCL2","ACKR2"
"339","CCL2","ACKR4"
"340","CCL2","CCR1"
"341","CCL2","CCR10"
"342","CCL2","CCR2"
"343","CCL2","CCR3"
"344","CCL2","CCR4"
"345","CCL2","CCR5"
"346","CCL2","DARC"
"347","CCL3L1","CCR1"
"348","CCL3L1","CCR3"
"349","CCL3L1","CCR5"
"350","CCL3L3","ACKR2"
"351","CCL3L3","CCR5"
"352","CCL3","ACKR2"
"353","CCL3","CCR1"
"354","CCL3","CCR3"
"355","CCL3","CCR4"
"356","CCL3","CCR5"
"357","CCL4","ACKR2"
"358","CCL4","CCR1"
"359","CCL4","CCR3"
"360","CCL4","CCR5"
"361","CCL4","CCR8"
"362","CCL5","ACKR2"
"363","CCL5","ACKR4"
"364","CCL5","CCR1"
"365","CCL5","CCR3"
"366","CCL5","CCR4"
"367","CCL5","CCR5"
"368","CCL5","CXCR3"
"369","CCL5","DARC"
"370","CCL5","GPR75"
"371","CCL5","SDC1"
"372","CCL5","SDC4"
"373","CCL7","ACKR2"
"374","CCL7","ACKR4"
"375","CCL7","CCR1"
"376","CCL7","CCR10"
"377","CCL7","CCR2"
"378","CCL7","CCR3"
"379","CCL7","CCR5"
"380","CCL7","CXCR3"
"381","CCL7","DARC"
"382","CCL8","ACKR2"
"383","CCL8","ACKR4"
"384","CCL8","CCR1"
"385","CCL8","CCR2"
"386","CCL8","CCR3"
"387","CCL8","CCR5"
"388","CCL8","DARC"
