"","ligand","receptor"
"395","Csf2","Csf3r"
"396","Csf2","Il3ra"
"397","Csf2","Sdc2"
"398","Csf3","Csf1r"
"399","Csf3","Csf3r"
"400","Ctf1","Il6st"
"401","Ctf1","Lifr"
"402","Cthrc1","Fzd3"
"403","Cthrc1","Fzd5"
"404","Cthrc1","Fzd6"
"405","Cubn","Lrp2"
"406","Cx3cl1","Cx3cr1"
"407","Cxcl1","Cxcr1"
"408","Cxcl1","Cxcr2"
"409","Cxcl1","Xcr1"
"410","Cxcl10","Ccr3"
"411","Cxcl10","Cxcr3"
"412","Cxcl10","Sdc4"
"413","Cxcl11","Ackr3"
"414","Cxcl11","Ccr3"
"415","Cxcl11","Cxcr3"
"416","Cxcl12","Ackr3"
"417","Cxcl12","Cd4"
"418","Cxcl12","Cxcr3"
"419","Cxcl12","Cxcr4"
"420","Cxcl12","Itgb1"
"421","Cxcl13","Ackr4"
"422","Cxcl13","Ccr10"
"423","Cxcl13","Cxcr3"
"424","Cxcl13","Cxcr5"
"425","Cxcl16","Cxcr6"
"426","Cxcl2","Cxcr1"
"427","Cxcl2","Cxcr2"
"428","Cxcl5","Cxcr1"
"429","Cxcl5","Cxcr2"
"430","Cxcl9","Ccr3"
"431","Cxcl9","Cxcr3"
"432","Dcn","Egfr"
"433","Dcn","Erbb4"
"434","Dcn","Met"
"435","Defb1","Ccr6"
"436","Defb14","Ccr2"
"437","Defb14","Ccr6"
"438","Dhh","Boc"
"439","Dhh","Cdon"
"440","Dhh","Hhip"
"441","Dhh","Ptch1"
"442","Dhh","Ptch2"
"443","Dkk1","Kremen1"
"444","Dkk1","Kremen2"
"445","Dkk1","Lrp5"
"446","Dkk1","Lrp6"
"447","Dkk2","Kremen2"
"448","Dkk2","Lrp6"
"449","Dlk1","Notch1"
"450","Dlk2","Notch1"
"451","Dll1","Notch1"
"452","Dll1","Notch2"
"453","Dll1","Notch3"
"454","Dll4","Notch1"
"455","Dll4","Notch2"
"456","Dll4","Notch3"
"457","Dll4","Notch4"
"458","Ebi3","Il27ra"
"459","Eda","Eda2r"
"460","Eda","Edar"
"461","Edil3","Itgav"
"462","Edn1","Ednra"
"463","Edn1","Ednrb"
"464","Edn1","Kel"
"465","Edn2","Ednra"
"466","Edn2","Ednrb"
"467","Edn2","Kel"
"468","Edn3","Ednra"
"469","Edn3","Ednrb"
"470","Edn3","Kel"
"471","Efemp1","Egfr"
"472","Efemp2","Aqp1"
"473","Efemp2","Catsper1"
"474","Efemp2","Lingo1"
"475","Efemp2","Plscr4"
"476","Efna1","Epha1"
"477","Efna1","Epha2"
"478","Efna1","Epha3"
"479","Efna1","Epha4"
"480","Efna1","Epha5"
"481","Efna1","Epha6"
"482","Efna1","Epha7"
"483","Efna1","Epha8"
"484","Efna1","Ephb1"
"485","Efna2","Epha2"
"486","Efna2","Epha3"
"487","Efna2","Epha4"
"488","Efna2","Epha5"
"489","Efna2","Epha6"
"490","Efna2","Epha7"
"491","Efna2","Epha8"
"492","Efna3","Epha1"
"493","Efna3","Epha2"
"494","Efna3","Epha3"
"495","Efna3","Epha4"
"496","Efna3","Epha5"
"497","Efna3","Epha6"
"498","Efna3","Epha7"
"499","Efna3","Epha8"
"500","Efna3","Ephb1"
"501","Efna4","Epha2"
"502","Efna4","Epha3"
"503","Efna4","Epha4"
"504","Efna4","Epha5"
"505","Efna4","Epha6"
"506","Efna4","Epha7"
"507","Efna4","Epha8"
"508","Efna5","Epha2"
"509","Efna5","Epha3"
"510","Efna5","Epha4"
"511","Efna5","Epha5"
"512","Efna5","Epha6"
"513","Efna5","Epha7"
"514","Efna5","Epha8"
"515","Efna5","Ephb1"
"516","Efna5","Ephb2"
"517","Efna5","Ephb6"
"518","Efnb1","Ephb1"
"519","Efnb1","Ephb2"
"520","Efnb1","Ephb3"
"521","Efnb1","Ephb4"
"522","Efnb1","Ephb6"
"523","Efnb1","Erbb2"
"524","Efnb2","Epha3"
"525","Efnb2","Epha4"
"526","Efnb2","Epha6"
"527","Efnb2","Ephb1"
"528","Efnb2","Ephb2"
"529","Efnb2","Ephb3"
"530","Efnb2","Ephb4"
"531","Efnb2","Ephb6"
"532","Efnb2","Grm1"
"533","Efnb2","Grm5"
"534","Efnb2","Pecam1"
"535","Efnb2","Rhbdl2"
"536","Efnb3","Epha4"
"537","Efnb3","Ephb2"
"538","Efnb3","Ephb3"
"539","Efnb3","Ephb4"
"540","Efnb3","Rhbdl2"
"541","Egf","Egfr"
"542","Egf","Erbb2"
"543","Egf","Erbb3"
"544","Egf","Erbb4"
"545","Epgn","Egfr"
"546","Epo","Epor"
"547","Ereg","Egfr"
"548","Ereg","Erbb4"
"549","F10","F3"
"550","F11","Gp1ba"
"551","F12","Cd93"
"552","F12","Gp1ba"
"553","F13a1","Itga4"
"554","F13a1","Itga9"
"555","F13a1","Itgb1"
"556","F2","F2r"
"557","F2","F2rl1"
"558","F2","F2rl2"
"559","F2","F2rl3"
"560","F2","Gp1ba"
"561","F2","Gp9"
"562","F2","Itga2b"
"563","F2","Thbd"
"564","F7","F3"
"565","F8","Asgr2"
"566","F8","Ldlr"
"567","F8","Lrp1"
"568","F9","Lrp1"
"569","Fasl","Fas"
"570","Fat4","Dchs1"
"571","Fbln1","Itgb1"
"572","Fbln2","Itgb3"
"573","Fbn1","Itga5"
"574","Fbn1","Itgav"
"575","Fbn1","Itgb1"
"576","Fbn1","Itgb3"
"577","Fcnb","Lrp1"
"578","Fga","Cdh5"
"579","Fga","Itga2b"
"580","Fga","Itga5"
"581","Fga","Itgam"
"582","Fga","Itgav"
"583","Fga","Itgax"
"584","Fga","Itgb1"
"585","Fga","Itgb2"
"586","Fga","Itgb3"
"587","Fgb","Itga2b"
"588","Fgb","Itga5"
"589","Fgb","Itgam"
"590","Fgb","Itgav"
"591","Fgb","Itgb1"
"592","Fgb","Itgb2"
"593","Fgf1","Fgfr1"
"594","Fgf1","Fgfr2"
"595","Fgf1","Fgfr3"
"596","Fgf1","Fgfr4"
"597","Fgf1","Nrp1"
"598","Fgf10","Fgfr2"
"599","Fgf13","Scn5a"
"600","Fgf13","Scn8a"
"601","Fgf15","Fgfr1"
"602","Fgf15","Fgfr2"
"603","Fgf15","Fgfr3"
"604","Fgf15","Fgfr4"
"605","Fgf15","Klb"
"606","Fgf16","Fgfr2"
"607","Fgf16","Fgfr3"
"608","Fgf16","Fgfr4"
"609","Fgf17","Fgfr1"
"610","Fgf17","Fgfr2"
"611","Fgf17","Fgfr3"
"612","Fgf17","Fgfr4"
"613","Fgf18","Fgfr1"
"614","Fgf18","Fgfr2"
"615","Fgf18","Fgfr3"
"616","Fgf18","Fgfr4"
"617","Fgf2","Cd44"
"618","Fgf2","Fgfr1"
"619","Fgf2","Fgfr2"
"620","Fgf2","Fgfr3"
"621","Fgf2","Fgfr4"
"622","Fgf2","Fgfrl1"
"623","Fgf2","Gpc4"
"624","Fgf2","Nrp1"
"625","Fgf2","Sdc1"
"626","Fgf2","Sdc2"
"627","Fgf2","Sdc3"
"628","Fgf2","Sdc4"
"629","Fgf20","Fgfr4"
"630","Fgf21","Fgfr4"
"631","Fgf22","Fgfr2"
"632","Fgf23","Fgfr1"
"633","Fgf23","Fgfr2"
"634","Fgf23","Fgfr3"
"635","Fgf23","Fgfr4"
"636","Fgf23","Phex"
"637","Fgf3","Fgfr1"
"638","Fgf3","Fgfr2"
"639","Fgf3","Fgfr3"
"640","Fgf3","Fgfr4"
"641","Fgf4","Fgfr1"
"642","Fgf4","Fgfr2"
"643","Fgf4","Fgfr3"
"644","Fgf4","Fgfr4"
"645","Fgf4","Nrp1"
"646","Fgf5","Fgfr1"
"647","Fgf5","Fgfr2"
"648","Fgf5","Fgfr3"
"649","Fgf5","Fgfr4"
"650","Fgf6","Fgfr1"
"651","Fgf6","Fgfr2"
"652","Fgf6","Fgfr3"
"653","Fgf6","Fgfr4"
"654","Fgf7","Fgfr1"
"655","Fgf7","Fgfr2"
"656","Fgf7","Fgfr3"
"657","Fgf7","Fgfr4"
"658","Fgf7","Nrp1"
"659","Fgf8","Fgfr1"
"660","Fgf8","Fgfr2"
"661","Fgf8","Fgfr3"
"662","Fgf8","Fgfr4"
"663","Fgf9","Fgfr1"
"664","Fgf9","Fgfr2"
"665","Fgf9","Fgfr3"
"666","Fgf9","Fgfr4"
"667","Fgg","Itga2b"
"668","Fgg","Itga5"
"669","Fgg","Itgav"
"670","Fgg","Itgb1"
"671","Fgg","Itgb2"
"672","Fgl1","Egfr"
"673","Fgl1","Lag3"
"674","Flt3l","Flt3"
"675","Fn1","Cd44"
"676","Fn1","Col13a1"
"677","Fn1","Itga2"
"678","Fn1","Itga2b"
"679","Fn1","Itga3"
"680","Fn1","Itga4"
"681","Fn1","Itga5"
"682","Fn1","Itga8"
"683","Fn1","Itga9"
"684","Fn1","Itgav"
"685","Fn1","Itgb1"
"686","Fn1","Itgb3"
"687","Fn1","Itgb6"
"688","Fn1","Itgb7"
"689","Fn1","Itgb8"
"690","Fn1","Mag"
"691","Fn1","Nt5e"
"692","Fn1","Plaur"
"693","Fn1","Sdc2"
"694","Fn1","Tmprss6"
"695","Fn1","Tnfrsf11b"
"696","Fn1","Tshr"
"697","Fshb","Fshr"
"698","Gal","Galr1"
"699","Gal","Galr2"
"700","Gal","Galr3"
"701","Gal","Gpr151"
"702","Galp","Galr1"
"703","Galp","Galr2"
"704","Galp","Galr3"
"705","Gas6","Axl"
"706","Gas6","Mertk"
"707","Gas6","Tyro3"
"708","Gast","Cckbr"
"709","Gcg","Gcgr"
"710","Gcg","Glp1r"
"711","Gcg","Glp2r"
"712","Gdf11","Acvr1b"
"713","Gdf11","Acvr2a"
"714","Gdf11","Acvr2b"
"715","Gdf2","Acvr1"
"716","Gdf2","Acvr2a"
"717","Gdf2","Acvr2b"
"718","Gdf2","Acvrl1"
"719","Gdf2","Bmpr2"
"720","Gdf2","Eng"
"721","Gdf5","Acvr1"
"722","Gdf5","Acvr2a"
"723","Gdf5","Acvr2b"
"724","Gdf5","Bmpr1a"
"725","Gdf5","Bmpr1b"
"726","Gdf5","Bmpr2"
"727","Gdf5","Ror2"
"728","Gdf6","Bmpr1a"
"729","Gdf6","Bmpr1b"
"730","Gdf6","Bmpr2"
"731","Gdf7","Acvr2a"
"732","Gdf7","Bmpr1a"
"733","Gdf7","Bmpr2"
"734","Gdf9","Acvr2a"
"735","Gdf9","Bmpr1a"
"736","Gdf9","Bmpr1b"
"737","Gdf9","Bmpr2"
"738","Gdf9","Fxyd6"
"739","Gdf9","Orai2"
"740","Gdf9","Tgfbr1"
"741","Gdnf","Gfra1"
"742","Gdnf","Gfra2"
"743","Gdnf","Ret"
"744","Gh","Ghr"
"745","Gh","Prlr"
"746","Ghrh","Ghrhr"
"747","Ghrh","Vipr1"
"748","Ghrl","Ghrhr"
"749","Ghrl","Ghsr"
"750","Ghrl","Gpr39"
"751","Gip","Dpp4"
"752","Gip","Gipr"
"753","Gm10499","Aplp2"
"754","Gm10499","Erbb2"
"755","Gm10499","Kir3dl1"
"756","Gm10499","Kir3dl2"
"757","Gm10591","Ackr2"
"758","Gm10591","Ackr4"
"759","Gm10591","Ccr7"
"760","Gm10591","Cxcr3"
"761","Gm13304","Ackr2"
"762","Gm13304","Ackr4"
"763","Gm13304","Ccr7"
"764","Gm13304","Cxcr3"
"765","Gm13306","Ackr2"
"766","Gm13306","Ccr10"
"767","Gm21541","Ackr2"
"768","Gm21541","Ackr4"
"769","Gm21541","Ccr7"
"770","Gm21541","Cxcr3"
"771","Gm8909","Aplp2"
"772","Gm8909","Erbb2"
"773","Gm8909","Kir3dl1"
"774","Gm8909","Kir3dl2"
"775","Gnai2","Adcy1"
"776","Gnai2","Adora1"
"777","Gnai2","Adra2a"
"778","Gnai2","Adra2b"
"779","Gnai2","Agtr2"
"780","Gnai2","C5ar1"
"781","Gnai2","Cav1"
"782","Gnai2","Ccr5"
"783","Gnai2","Chrm1"
"784","Gnai2","Cnr1"
"785","Gnai2","Cxcr1"
"786","Gnai2","Cxcr2"
"787","Gnai2","Drd2"
"788","Gnai2","Ednra"
"789","Gnai2","Egfr"
"790","Gnai2","F2r"
"791","Gnai2","Fpr1"
"792","Gnai2","Igf1r"
"793","Gnai2","Lhcgr"
"794","Gnai2","Lpar3"
"795","Gnai2","Mtnr1a"
"796","Gnai2","Mtnr1b"
"797","Gnai2","Oprd1"
"798","Gnai2","Oprm1"
"799","Gnai2","P2ry12"
"800","Gnai2","Ptpru"
"801","Gnai2","Tbxa2r"
"802","Gnai2","Tshr"
"803","Gnas","Adora1"
"804","Gnas","Adrb3"
"805","Gnas","Avpr2"
"806","Gnas","Crhr1"
"807","Gnas","Gcgr"
"808","Gnas","Htr6"
"809","Gnas","Lhcgr"
"810","Gnas","Ptgdr"
"811","Gnas","Ptgir"
"812","Gnas","Tshr"
"813","Gnas","Vipr1"
"814","Gnb3","Tgfbr1"
"815","Gnrh1","Gnrhr"
"816","Gpc3","Cd81"
"817","Gpc3","Igf1r"
"818","Gpha2","Tshr"
"819","Gpi1","Amfr"
"820","Grp","Brs3"
"821","Grp","Grpr"
"822","Grp","Nmbr"
"823","Gstp1","Traf2"
"824","Gstp2","Traf2"
"825","Gstp3","Traf2"
"826","Guca2a","Gucy2c"
"827","Guca2b","Gucy2c"
"828","Guca2b","Gucy2e"
"829","Gzme","Chrm3"
"830","Gzme","Igf2r"
"831","H2-Aa","Lag3"
"832","H2-Ab1","Lag3"
"833","H2-Bl","Aplp2"
"834","H2-Bl","Erbb2"
"835","H2-Bl","Kir3dl1"
"836","H2-Bl","Kir3dl2"
"837","H2-D1","Aplp2"
"838","H2-D1","Erbb2"
"839","H2-D1","Kir3dl1"
"840","H2-D1","Kir3dl2"
"841","H2-Ea-ps","Lag3"
"842","H2-Eb1","Lag3"
"843","H2-K1","Aplp2"
"844","H2-K1","Erbb2"
"845","H2-K1","Kir3dl1"
"846","H2-K1","Kir3dl2"
"847","H2-M3","Klrc1"
"848","H2-M3","Klrd1"
"849","H2-Q1","Aplp2"
"850","H2-Q1","Erbb2"
"851","H2-Q1","Kir3dl1"
"852","H2-Q1","Kir3dl2"
"853","H2-Q10","Aplp2"
"854","H2-Q10","Erbb2"
"855","H2-Q10","Kir3dl1"
"856","H2-Q10","Kir3dl2"
"857","H2-Q2","Aplp2"
"858","H2-Q2","Erbb2"
"859","H2-Q2","Kir3dl1"
"860","H2-Q2","Kir3dl2"
"861","H2-Q4","Aplp2"
"862","H2-Q4","Erbb2"
"863","H2-Q4","Kir3dl1"
"864","H2-Q4","Kir3dl2"
"865","H2-Q6","Aplp2"
"866","H2-Q6","Erbb2"
"867","H2-Q6","Kir3dl1"
"868","H2-Q6","Kir3dl2"
"869","H2-Q7","Aplp2"
"870","H2-Q7","Erbb2"
"871","H2-Q7","Kir3dl1"
"872","H2-Q7","Kir3dl2"
"873","H2-T-ps","Klrc1"
"874","H2-T-ps","Klrc2"
"875","H2-T-ps","Klrd1"
"876","H2-T23","Klrc1"
"877","H2-T23","Klrc2"
"878","H2-T23","Klrd1"
"879","Has2","Cd44"
"880","Has2","Hmmr"
"881","Havcr1","Havcr1"
"882","Hbegf","Cd44"
"883","Hbegf","Cd82"
"884","Hbegf","Cd9"
"885","Hbegf","Egfr"
"886","Hbegf","Erbb2"
"887","Hbegf","Erbb4"
"888","Hc","C5ar1"
"889","Hc","C5ar2"
"890","Hcrt","Hcrtr1"
"891","Hcrt","Hcrtr2"
"892","Hcrt","Npffr2"
"893","Hebp1","Fpr3"
"894","Hgf","Cd44"
"895","Hgf","Met"
"896","Hgf","Sdc1"
"897","Hgf","Sdc2"
"898","Hgf","St14"
"899","Hmgb1","Havcr2"
"900","Hmgb1","Sdc1"
"901","Hmgb1","Thbd"
"902","Hp","Itgam"
"903","Hp","Itgb2"
"904","Hras","Agtr1b"
"905","Hras","Cav1"
