00____82
01____38
02____40
03____90
04____59
05____110
06____48
10____28
11____26
12____32
13____56
14____26
15____57
16____27
20____28
21____30
22____29
23____54
24____27
25____58
26____33
30____74
31____58
32____63
33____110
34____63
35____109
36____60
40____87
41____65
42____53
43____124
44____97
45____113
46____62
50____149
51____66
52____63
53____138
54____123
55____205
56____65
60____40
61____31
62____35
63____61
64____31
65____73
66____30
