00____251
01____128
02____111
03____206
04____197
05____273
06____128
10____133
11____83
12____81
13____125
14____109
15____173
16____97
20____137
21____85
22____77
23____129
24____104
25____164
26____96
30____199
31____131
32____121
33____202
34____163
35____234
36____146
40____233
41____144
42____124
43____224
44____213
45____277
46____151
50____342
51____186
52____171
53____290
54____292
55____387
56____194
60____124
61____90
62____81
63____129
64____108
65____164
66____101
