00____0
01____0
02____0
03____2
04____0
05____4
06____1
10____0
11____0
12____0
13____0
14____0
15____0
16____0
20____0
21____0
22____0
23____1
24____0
25____0
26____0
30____4
31____0
32____3
33____27
34____17
35____18
36____4
40____5
41____0
42____1
43____37
44____42
45____51
46____3
50____5
51____0
52____3
53____46
54____44
55____65
56____5
60____1
61____0
62____0
63____1
64____2
65____3
66____0
