00____66.6362050750746
01____44.74868797931038
02____39.27616861565181
03____75.88654977432913
04____55.773470140083475
05____76.8498533493951
06____43.5611790366183
10____36.12727102786395
11____30.011410636053032
12____25.688057501267483
13____48.14698274538682
14____32.56352477309919
15____42.07006056378217
16____29.756323463770222
20____32.669816061292124
21____27.71522976094334
22____23.14884720520307
23____43.32775466173523
24____29.436086631814717
25____36.726786566926584
26____27.137789395070932
30____62.51042142096447
31____49.94084845414619
32____43.03247033441205
33____83.80070546737211
34____55.109890109889825
35____73.07585219880286
36____49.22847985347978
40____80.8022855738511
41____54.50435203094775
42____48.59578790141887
43____91.17313797313757
44____72.96804733727802
45____92.79470365699878
46____52.635207100591664
50____105.12487560886179
51____65.59115483400441
52____58.06703803915317
53____108.77452511059059
54____92.50920554854984
55____114.33216877183555
56____62.51292559899109
60____35.87708896534767
61____30.685649456926004
62____26.140328603435385
63____49.519993894993775
64____32.58727810650888
65____42.64218158890287
66____30.305103550295804
