SEMA3F,PLXNA3
SEMA3F,PLXNA1
SEMA3F,NRP1
SEMA3F,NRP2
CX3CL1,CX3CR1
HEBP1,ADRA2A
HEBP1,MTNR1A
HEBP1,FPR3
HEBP1,GRM7
DCN,EGFR
DCN,MET
DCN,ERBB4
GRN,TNFRSF1A
GRN,SORT1
GRN,TNFRSF1B
GRN,CLEC4M
GRN,EGFR
UTS2,UTS2R
ICAM3,ITGAL
ICAM3,CLEC4M
ICAM3,ITGB2
ICAM3,CD209
ICAM3,ITGAD
CEACAM1,CD209
CEACAM1,SELE
CEACAM1,EGFR
PRLH,PRLHR
FGF4,FGFR2
FGF4,FGFR4
FGF4,FGFR1
FGF4,FGFR3
FGF4,NRP1
ST6GAL1,EGFR
ST6GAL1,CD22
NTN1,UNC5D
NTN1,UNC5B
NTN1,DCC
NTN1,UNC5A
NTN1,ADORA2B
NTN1,UNC5C
NTN1,NEO1
SCT,PTH1R
SCT,ADCYAP1R1
SCT,RAMP2
SCT,VIPR1
SCT,RAMP3
SCT,GPR20
SCT,ADRB2
SCT,VIPR2
SCT,ADRB3
SCT,TSHR
SCT,GPR84
SCT,SCTR
FGF20,FGFR3
FGF20,FGFR1
FGF20,FGFR4
FGF20,FGFR2
CEACAM6,EGFR
THPO,MPL
EFNB1,EPHB6
EFNB1,EPHB4
EFNB1,ERBB2
EFNB1,EPHB1
EFNB1,EPHB3
EFNB1,EPHB2
EFNB1,EPHA4
EFNB1,EPHA6
DLL3,NOTCH1
DLL3,NOTCH4
DLL3,NOTCH2
DLL3,NOTCH3
SEMA4G,PLXNB2
VCL,ITGB5
VCL,ALK
EFNA2,EPHA7
EFNA2,EPHA10
EFNA2,EPHA3
EFNA2,EPHA1
EFNA2,EPHA6
EFNA2,EPHA4
EFNA2,EPHA5
EFNA2,EPHA2
EFNA2,EPHA8
FGF22,FGFR2
FGF22,FGFR1
MADCAM1,ITGA4
MADCAM1,CD44
MADCAM1,ITGB7
MIF,CXCR4
MIF,CXCR2
MIF,CD44
MIF,EGFR
MIF,CD74
OSM,LIFR
OSM,IL6ST
OSM,OSMR
TCN2,LRP2
TCN2,CNR1
LGALS1,ITGB1
LGALS1,PTPRC
NID2,COL13A1
GZMB,IGF2R
GZMB,CHRM3
RSPO4,LGR6
RSPO4,LGR4
RSPO4,LGR5
OXT,AVPR2
OXT,AVPR1B
OXT,AVPR1A
OXT,OXTR
F9,LRP1
PCSK1N,GPR171
TIMP1,CD63
TIMP1,FGFR2
MMP2,FGFR1
MMP2,PECAM1
MMP2,CCR2
MMP2,SDC2
CCL22,CCR4
CCL22,DPP4
CCL22,ACKR2
CCL17,ACKR2
CCL17,ACKR1
CCL17,CCR4
CCL17,CCR8
TG,TPO
TG,ASGR1
TG,LRP2
SFRP1,FZD2
SFRP1,FZD6
PLAT,ITGAM
PLAT,LRP1
PLAT,ITGB2
DKK4,LRP6
DKK4,LRP5
LHB,LHCGR
LHB,RAMP3
LHB,RAMP2
LHB,VIPR1
LHB,ADCYAP1R1
LHB,PTH1R
LHB,GPR84
LHB,ADRB3
LHB,TSHR
LHB,ADRB2
LHB,GPR20
AMH,EGFR
AMH,ACVR1
AMH,AMHR2
RETN,GPR25
EBI3,IL27RA
EBI3,IL6ST
TGFB1,CXCR4
TGFB1,ITGB1
TGFB1,ITGB5
TGFB1,EGFR
TGFB1,ENG
TGFB1,SMAD3
TGFB1,TGFBR2
TGFB1,ITGB3
TGFB1,TGFBR1
TGFB1,ITGB6
TGFB1,ACVRL1
TGFB1,ITGAV
TGFB1,CAV1
TGFB1,ITGB8
TGFB1,SDC2
TGFB1,TGFBR3
ICAM5,ITGAL
ICAM5,ITGB2
CEACAM5,CD1D
COMP,CD36
COMP,ITGB3
COMP,ITGB1
HGF,ITGB1
HGF,CD44
HGF,MET
HGF,NRP1
HGF,SDC2
HGF,SDC1
HGF,ST14
LAMB1,ITGA7
LAMB1,ITGA6
LAMB1,ITGA1
LAMB1,ITGA2
LAMB1,ITGAV
LAMB1,ITGB1
LAMB1,ITGB4
LAMB1,ITGA3
WNT16,FZD6
NAMPT,ADORA2A
PON2,HTR2A
NPVF,NPFFR1
NPVF,NPFFR2
PDAP1,PDGFRB
SERPINE1,PLAUR
SERPINE1,ITGAV
SERPINE1,LRP1
SERPINE1,LRP2
SERPINE1,ITGB5
C5,ADRA2A
C5,GRM7
C5,MTNR1A
C5,C5AR2
C5,C5AR1
TNFSF8,TNFRSF8
RLN1,RXFP2
RLN1,RXFP1
CSF3,CSF1R
CSF3,CSF3R
WNT3,RYK
WNT3,ROR2
WNT3,FZD1
WNT3,FZD7
WNT3,FZD8
WNT3,FZD5
WNT3,LRP6
CCL2,CCR4
CCL2,ACKR1
CCL2,ACKR2
CCL2,CCR1
CCL2,CCR5
CCL2,CCR10
CCL2,CCR3
CCL2,ACKR4
CCL2,CCR2
CCL1,CCR8
CCL13,ACKR2
CCL13,ACKR1
CCL13,ACKR4
CCL13,CXCR3
CCL13,CCR9
CCL13,CCR3
CCL13,CCR5
CCL13,CCR1
CCL13,CCR2
COL1A1,ITGB1
COL1A1,CD44
COL1A1,ITGA5
COL1A1,CD93
COL1A1,FLT4
COL1A1,DDR2
COL1A1,ITGA11
COL1A1,TMPRSS6
COL1A1,ITGA2
COL1A1,ITGA1
COL1A1,ITGAV
COL1A1,CD36
COL1A1,DDR1
EFNB3,RHBDL2
EFNB3,EPHA4
EFNB3,EPHB2
EFNB3,EPHB1
EFNB3,EPHB3
EFNB3,EPHB4
EFNB3,EPHB6
VTN,ITGB5
VTN,ITGB1
VTN,ITGA8
VTN,CD47
VTN,KDR
VTN,ITGA2B
VTN,TNFRSF11B
VTN,PVR
VTN,ITGB8
VTN,ITGAV
VTN,ITGB6
VTN,ITGB3
VTN,PLAUR
VTN,ITGA5
VTN,ITGA3
IBSP,ITGB3
IBSP,ITGAV
CXCL6,ACKR1
CXCL6,CXCR1
CXCL6,CXCR2
CXCL6,MTNR1A
CXCL6,GRM7
CXCL6,ADRA2A
IL2,IL2RA
IL2,IL2RG
IL2,CD53
IL2,IL2RB
IL2,NGFR
APOC3,LDLR
APOC3,TLR2
APOC3,SDC2
APOC3,LRP2
APOC3,LRP1
KITLG,KIT
KITLG,EPOR
CLEC2B,KLRF1
SELPLG,ESAM
SELPLG,SELL
SELPLG,SELP
SELPLG,ITGAM
SELPLG,ITGB2
SELPLG,SELE
IL23A,IL12RB1
IL23A,IL12RB2
IL23A,IL23R
FGF6,SDC4
FGF6,FGFR2
FGF6,FGFR1
FGF6,FGFR4
FGF6,FGFR3
IL26,IL10RB
IL26,IL20RA
IFNG,IFNGR2
IFNG,IFNGR1
GNB3,GABBR2
GNB3,TGFBR1
ULBP1,KLRK1
LAMA4,ITGAV
LAMA4,ITGA6
LAMA4,ITGB1
LAMA4,ITGA3
HBEGF,CD82
HBEGF,CD44
HBEGF,ERBB2
HBEGF,EGFR
HBEGF,ERBB4
HBEGF,CD9
HBEGF,PRLR
IL12B,IL12RB2
IL12B,IL23R
IL12B,IL12RB1
IL4,CD53
IL4,IL2RG
IL4,IL13RA2
IL4,IL13RA1
IL4,IL4R
IL5,CSF2RB
IL5,IL5RA
SEMA3G,NRP2
LTF,LRP1
LTF,TFRC
HRG,FCGR1A
HRG,ERBB3
HRG,ERBB2
TFPI,LRP1
TFPI,F3
TFPI,VLDLR
TFPI,SDC4
APOB,LDLR
APOB,VLDLR
APOB,OLR1
APOB,CALCR
APOB,MTTP
APOB,LSR
APOB,TLR6
APOB,LRP8
APOB,TLR4
APOB,ITGAM
APOB,LRP6
APOB,LRP1
APOB,LRP2
APOB,ADRB2
APOB,ITGB2
WNT6,FZD4
PROC,THBD
PROC,ITGAM
PROC,ITGB2
PROC,PROCR
ANGPTL1,TEK
CD160,TNFRSF14
APOA1,ABCA1
APOA1,LDLR
APOA1,LRP2
APOA1,LRP1
FGF23,FGFR2
FGF23,FGFR3
FGF23,FGFR4
FGF23,FGFR1
FGF23,PHEX
FGF23,KL
TGFB3,TGFBR1
TGFB3,ITGB6
TGFB3,ACVRL1
TGFB3,ITGB3
TGFB3,TGFBR2
TGFB3,ENG
TGFB3,ITGB1
TGFB3,ITGB5
TGFB3,TGFBR3
IFNA7,IFNAR2
IFNA7,IFNAR1
IAPP,RAMP1
IAPP,CALCR
IAPP,ADRB2
IAPP,GPR20
IAPP,GPR84
IAPP,ADRB3
IAPP,TSHR
IAPP,PTH1R
IAPP,ADCYAP1R1
IAPP,VIPR1
IAPP,RAMP2
IAPP,RAMP3
TNFSF10,TNFRSF11B
TNFSF10,TNFRSF10B
TNFSF10,TNFRSF10C
TNFSF10,TNFRSF10D
TNFSF10,RIPK1
TNFSF10,TNFRSF10A
GSTM2,RYR2
INHBA,BAMBI
INHBA,ACVR1B
INHBA,ACVR2B
INHBA,ENG
INHBA,SMAD3
INHBA,ACVR1
INHBA,TGFBR3
INHBA,ACVR2A
INHA,ACVR2A
INHA,TGFBR3
INHA,ACVR1
INHA,ACVR2B
PI3,PLD2
IL17C,IL17RE
LYPD3,AGR2
EREG,ERBB3
EREG,ERBB4
EREG,EGFR
EREG,ERBB2
EFNB2,EPHB3
EFNB2,EPHB1
EFNB2,EPHB2
EFNB2,EPHA4
EFNB2,EPHA6
EFNB2,EPHA3
EFNB2,EPHB6
EFNB2,EPHB4
EFNB2,PECAM1
EFNB2,RHBDL2
EFNB2,GRM5
EFNB2,GRM1
BMP4,BMPR2
BMP4,BMPR1A
BMP4,HJV
BMP4,BMPR1B
BMP4,LRP6
PSPN,GFRA3
PSPN,RET
PSPN,SDC3
PSPN,GFRA2
PSPN,GFRA4
PSPN,GFRA1
TNFSF9,TNFRSF9
TNFSF9,TRAF2
TNFSF9,PVR
CD70,TNFRSF13B
CD70,CD27
CD70,TNFRSF17
C3,CD19
C3,CD46
C3,CR2
C3,ITGAX
C3,IFITM1
C3,CR1
C3,C3AR1
C3,CD81
C3,ITGAM
C3,C5AR2
C3,LRP1
C3,GRM7
C3,MTNR1A
C3,ADRA2A
C3,ITGB2
VASP,CXCR2
SLURP1,CHRNA7
GDF1,ACVR2B
GDF1,ACVR1B
GDF1,SMAD3
GDF1,ACVR2A
OMG,NGFR
OMG,RTN4R
OMG,RTN4RL1
OMG,LINGO1
LIF,LIFR
