00____326
01____170
02____151
03____259
04____253
05____364
06____178
10____162
11____101
12____92
13____159
14____136
15____210
16____119
20____173
21____107
22____95
23____152
24____144
25____207
26____121
30____275
31____169
32____152
33____258
34____228
35____304
36____186
40____293
41____174
42____154
43____265
44____269
45____351
46____190
50____406
51____222
52____205
53____344
54____361
55____462
56____241
60____167
61____105
62____92
63____160
64____138
65____204
66____128
