From	To	
P01148   GNRH1	
P01160   NPPA	
P01178   OXT	
P01185   AVP	
P01189   POMC	
P01210   PENK	
P01215   CGA	
P01222   TSHB	
P01225   FSHB	
P01229   LHB	
P01236   PRL	
P01242   GH2	
P01266   TG	
P01270   PTH	
P01282   VIP	
P01344   IGF2	
P01350   GAST	
P01374   LTA	
P01375   TNF	
P01563   IFNA2	
P01574   IFNB1	
P01579   IFNG	
P01584   IL1B	
P01589   IL2RA	
P01591   JCHAIN	
P01730   CD4	
P01732   CD8A	
P01833   PIGR	
P01903   HLA-DRA	
P01906   HLA-DQA2	
P01909   HLA-DQA1	
P02452   COL1A1	
P02458   COL2A1	
P02461   COL3A1	
P02462   COL4A1	
P02647   APOA1	
P02649   APOE	
P02652   APOA2	
P02655   APOC2	
P02671   FGA	
P02675   FGB	
P02679   FGG	
P02703   CLPS	
P02708   CHRNA1	
P02741   CRP	
P02743   APCS	
P02745   C1QA	
P02746   C1QB	
P02747   C1QC	
P02748   C9	
P02749   APOH	
P02750   LRG1	
P02751   FN1	
P02753   RBP4	
P02765   AHSG	
P02768   ALB	
P02771   AFP	
P02775   PPBP	
P02776   PF4	
P02778   CXCL10	
P02786   TFRC	
P02787   TF	
P02788   LTF	
P02790   HPX	
P02818   BGLAP	
P03950   ANG	
P03956   MMP1	
P03968   FGF1	
P03969   FGF2	
P03971   AMH	
P03973   SLPI	
P04003   C4BPA	
P04054   PLA2G1B	
P04070   PROC	
P04075   ALDOA	
P04083   ANXA1	
P04114   APOB	
P04118   CLPS	
P04141   CSF2	
P04155   TFF1	
P04196   HRG	
P04217   A1BG	
P04264   KRT1	
P04271   S100B	
P04275   VWF	
P04278   SHBG	
P04279   SEMG1	
P04626   ERBB2	
P04628   WNT1	
P04629   NTRK1	
P04746   AMY2A	
P04985   ELN	
P05000   IFNW1	
P05019   IGF1	
P05060   CHGB	
P05067   APP	
P05090   APOD	
P05106   ITGB3	
P05107   ITGB2	
P05109   S100A8	
P05111   INHA	
P05113   IL5	
P05121   SERPINE1	
P05154   SERPINA5	
P05156   CFI	
P05187   ALPP	
P05230   FGF1	
P05231   IL6	
P05305   EDN1	
P05362   ICAM1	
P05408   SCG5	
P05451   REG1A	
P05452   CLEC3B	
P05546   SERPIND1	
P05556   ITGB1	
P05814   CSN2	
P05997   COL5A2	
P06127   CD5	
P06213   INSR	
P06276   BCHE	
P06307   CCK	
P06340   HLA-DOA	
P06396   GSN	
P06702   S100A9	
P06729   CD2	
P06734   FCER2	
P06744   GPI	
P06756   ITGAV	
P06850   CRH	
P06858   LPL	
P06881   CALCA	
P07093   SERPINE2	
P07200   TGFB1	
P07204   THBD	
P07237   P4HB	
P07288   KLK3	
P07306   ASGR1	
P07339   CTSD	
P07355   ANXA2	
P07357   C8A	
P07358   C8B	
P07477   PRSS1	
P07492   GRP	
P07550   ADRB2	
P07585   DCN	
P07602   PSAP	
P07711   CTSL	
P07766   CD3E	
P07858   CTSB	
P07942   LAMB1	
P07996   THBS1	
P08069   IGF1R	
P08100   RHO	
P08123   COL1A2	
P08138   NGFR	
P08174   CD55	
P08236   GUSB	
P08246   ELANE	
P08253   MMP2	
P08254   MMP3	
P08311   CTSG	
P08514   ITGA2B	
P08571   CD14	
P08572   COL4A2	
P08575   PTPRC	
P08581   MET	
P08588   ADRB1	
P08603   CFH	
P08620   FGF4	
P08637   FCGR3A	
P08648   ITGA5	
P08697   SERPINF2	
P08700   IL3	
P08709   F7	
P08758   ANXA5	
P08865   RPSA	
P08908   HTR1A	
P08949   NMB	
P09038   FGF2	
P09237   MMP7	
P09238   MMP10	
P09326   CD48	
P09341   CXCL1	
P09382   LGALS1	
P09429   HMGB1	
P09466   PAEP	
P09486   SPARC	
P09529   INHBB	
P09564   CD7	
P09619   PDGFRB	
P09668   CTSH	
P09683   SCT	
P09758   TACSTD2	
P09871   C1S	
P09919   CSF3	
P09923   ALPI	
P0C0L4   C4A	
P0C0L5   C4B	
P0C0L5   C4B_2	
P0DJI9   SAA2	
P10082   PYY	
P10124   SRGN	
P10145   CXCL8	
P10275   AR	
P10276   RARA	
P10288   CDH2	
P10323   ACR	
P10451   SPP1	
P10586   PTPRF	
P10589   NR2F1	
P10643   C7	
P10646   TFPI	
P10696   ALPG	
P10720   PF4V1	
P10721   KIT	
P10745   RBP3	
P10767   FGF6	
P10826   RARB	
P10827   THRA	
P10909   CLU	
P10912   GHR	
P10915   HAPLN1	
P10997   IAPP	
P11047   LAMC1	
P11151   LPL	
P11215   ITGAM	
P11226   MBL2	
P11362   FGFR1	
P11487   FGF3	
P11717   IGF2R	
P11836   MS4A1	
P11912   CD79A	
P12034   FGF5	
P12107   COL11A1	
P12109   COL6A1	
P12272   PTHLH	
P12273   PIP	
P12319   FCER1A	
P12644   BMP4	
P12821   ACE	
P12830   CDH1	
P12838   DEFA4	
P13224   GP1BB	
P13232   IL7	
P13236   CCL4	
P13385   CRIPTO	
P13497   BMP1	
P13500   CCL2	
P13598   ICAM2	
P13608   ACAN	
P13611   VCAN	
P13612   ITGA4	
P13725   OSM	
P13747   HLA-E	
P14210   HGF	
P14222   PRF1	
P14416   DRD2	
P14543   NID1	
P14555   PLA2G2A	
P14618   PKM	
P14625   HSP90B1	
P14778   IL1R1	
P14780   MMP9	
P14781   CNTN1	
P14784   IL2RB	
P14867   GABRA1	
P15018   LIF	
P15144   ANPEP	
P15151   PVR	
P15248   IL9	
P15328   FOLR1	
P15502   ELN	
P15509   CSF2RA	
P15531   NME1	
P15692   VEGFA	
P15813   CD1D	
P16035   TIMP2	
P16070   CD44	
P16144   ITGB4	
P16234   PDGFRA	
P16368   TIMP2	
P16519   PCSK2	
P16591   FER	
P16619   CCL3L1	
P16619   CCL3L3	
P16860   NPPB	
P16871   IL7R	
P17181   IFNAR1	
P17301   ITGA2	
P17342   NPR3	
P17693   HLA-G	
P17787   CHRNB2	
P17813   ENG	
P17931   LGALS3	
P17936   IGFBP3	
P18428   LBP	
P18433   PTPRA	
P18505   GABRB1	
P18507   GABRG2	
P18509   ADCYAP1	
P18510   IL1RN	
P18564   ITGB6	
P19022   CDH2	
P19235   EPOR	
P19320   VCAM1	
P19438   TNFRSF1A	
P19827   ITIH1	
P19875   CXCL2	
P19883   FST	
P20023   CR2	
P20061   TCN1	
P20073   ANXA7	
P20160   AZU1	
P20333   TNFRSF1B	
P20366   TAC1	
P20382   PMCH	
P20396   TRH	
P20645   M6PR	
P20701   ITGAL	
P20702   ITGAX	
P20742   PZP	
P20783   NTF3	
P20800   EDN2	
P20827   EFNA1	
P20849   COL9A1	
P20908   COL5A1	
P20916   MAG	
P20963   CD247	
P21146   GRK2	
P21453   S1PR1	
P21462   FPR1	
P21731   TBXA2R	
P21757   MSR1	
P21781   FGF7	
P21802   FGFR2	
P21809   BGN	
P21810   BGN	
P21817   RYR1	
P21860   ERBB3	
P21917   DRD4	
P21926   CD9	
P21941   MATN1	
P22004   BMP6	
P22105   TNXB	
P22146   GAS1	
P22301   IL10	
P22303   ACHE	
P22362   CCL1	
P22413   ENPP1	
P22458   VTN	
P22460   KCNA5	
P22466   GAL	
P22607   FGFR3	
P22736   NR4A1	
P22794   EVI2A	
P22894   MMP8	
P23142   FBLN1	
P23229   ITGA6	
P23280   CA6	
P23435   CBLN1	
P23467   PTPRB	
P23468   PTPRD	
P23470   PTPRG	
P23471   PTPRZ1	
P23515   OMG	
P23560   BDNF	
P23582   NPPC	
P24043   LAMA2	
P24158   PRTN3	
P24394   IL4R	
P24821   TNC	
P25024   CXCR1	
P25025   CXCR2	
P25098   GRK2	
P25116   F2R	
P25311   AZGP1	
P25391   LAMA1	
P25445   FAS	
P25774   CTSS	
P25942   CD40	
P26006   ITGA3	
P26010   ITGB7	
P26012   ITGB8	
P26022   PTX3	
P26441   CNTF	
P26447   S100A4	
P26583   HMGB2	
P26715   KLRC1	
P26717   KLRC2	
P26842   CD27	
P26927   MST1	
P26951   IL3RA	
P26992   CNTFR	
P27037   ACVR2A	
P27487   DPP4	
P27658   COL8A1	
P27797   CALR	
P27930   IL1R2	
P28039   AOAH	
P28799   GRN	
P28827   PTPRM	
P28908   TNFRSF8	
P29274   ADORA2A	
P29279   CCN2	
P29317   EPHA2	
P29320   EPHA3	
P29322   EPHA8	
P29323   EPHB2	
P29371   TACR3	
P29400   COL4A5	
P29459   IL12A	
P29460   IL12B	
P29622   SERPINA4	
P29972   AQP1	
P30044   PRDX5	
P30203   CD6	
P30411   BDKRB2	
P30518   AVPR2	
P30533   LRPAP1	
P30542   ADORA1	
P30825   SLC7A1	
P30872   SSTR1	
P30874   SSTR2	
P30926   CHRNB4	
P30989   NTSR1	
P31025   LCN1	
P31151   S100A7	
P31391   SSTR4	
P31431   SDC4	
P31785   IL2RG	
P32004   L1CAM	
P32245   MC4R	
P32246   CCR1	
P32881   IFNA8	
P32927   CSF2RB	
P32942   ICAM3	
P33151   CDH5	
P34130   NTF4	
P34820   BMP8B	
P34903   GABRA3	
P34925   RYK	
P34995   PTGER1	
P35030   PRSS3	
P35070   BTC	
P35225   IL13	
P35247   SFTPD	
P35368   ADRA1B	
P35414   APLNR	
P35442   THBS2	
P35542   SAA4	
P35555   FBN1	
P35556   FBN2	
P35590   TIE1	
P35613   BSG	
P35625   TIMP3	
P35916   FLT4	
P35968   KDR	
P36894   BMPR1A	
P36897   TGFBR1	
P36955   SERPINF1	
P37023   ACVRL1	
